Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;6833;5884,73396834146;305;2021-01-19T09:02:00
Baden;5076;3471,88498184032;306;2021-01-19T09:02:00
Bludenz;3019;4738,36205543523;801;2021-01-19T09:02:00
Braunau am Inn;4745;4544,67090644395;404;2021-01-19T09:02:00
Bregenz;6574;4891,98782584107;802;2021-01-19T09:02:00
Bruck an der Leitha;3093;3032,05568081561;307;2021-01-19T09:02:00
Bruck-Mürzzuschlag;3883;3922,85621918694;621;2021-01-19T09:02:00
Deutschlandsberg;2124;3492,21485999901;603;2021-01-19T09:02:00
Dornbirn;5365;6025,31418110758;803;2021-01-19T09:02:00
Eferding;2086;6291,47062371818;405;2021-01-19T09:02:00
Eisenstadt(Stadt);548;3743,93659902986;101;2021-01-19T09:02:00
Eisenstadt-Umgebung;1353;3151,86246418338;103;2021-01-19T09:02:00
Feldkirch;5713;5331,33007960134;804;2021-01-19T09:02:00
Feldkirchen;1443;4820,12225673915;210;2021-01-19T09:02:00
Freistadt;3724;5589,82903288753;406;2021-01-19T09:02:00
Gänserndorf;2704;2607,87377273692;308;2021-01-19T09:02:00
Gmünd;1624;4416,28368640035;309;2021-01-19T09:02:00
Gmunden;5118;5035,86504117838;407;2021-01-19T09:02:00
Graz(Stadt);9949;3444,87302895369;601;2021-01-19T09:02:00
Graz-Umgebung;5088;3298,32749902762;606;2021-01-19T09:02:00
Grieskirchen;3959;6117,02538588712;408;2021-01-19T09:02:00
Güssing;1096;4248,55603364732;104;2021-01-19T09:02:00
Hallein;4440;7354,15907509855;502;2021-01-19T09:02:00
Hartberg-Fürstenfeld;3943;4351,04058617113;622;2021-01-19T09:02:00
Hermagor;1015;5569,57857769974;203;2021-01-19T09:02:00
Hollabrunn;1232;2422,4310826222;310;2021-01-19T09:02:00
Horn;648;2084,27146992602;311;2021-01-19T09:02:00
Imst;3145;5236,77900626082;702;2021-01-19T09:02:00
Innsbruck-Land;9528;5313,46546358982;703;2021-01-19T09:02:00
Innsbruck-Stadt;6678;5054,8785103323;701;2021-01-19T09:02:00
Jennersdorf;661;3873,19817180359;105;2021-01-19T09:02:00
Kirchdorf an der Krems;2608;4586,2202370485;409;2021-01-19T09:02:00
Kitzbühel;3010;4711,88616333495;704;2021-01-19T09:02:00
Klagenfurt Land;2455;4105,35117056856;204;2021-01-19T09:02:00
Klagenfurt Stadt;4204;4169,93165835127;201;2021-01-19T09:02:00
Korneuburg;2498;2748,40739803497;312;2021-01-19T09:02:00
Krems an der Donau(Stadt);925;3718,44347965911;301;2021-01-19T09:02:00
Krems(Land);2078;3671,63757155983;313;2021-01-19T09:02:00
Kufstein;6624;6039,27718312941;705;2021-01-19T09:02:00
Landeck;2817;6350,02930435959;706;2021-01-19T09:02:00
Leibnitz;3318;4022,59832209883;610;2021-01-19T09:02:00
Leoben;2180;3629,70362970363;611;2021-01-19T09:02:00
Lienz;2835;5815,02676758353;707;2021-01-19T09:02:00
Liezen (inkl. Gröbming);3459;4329,10727024693;612;2021-01-19T09:02:00
Lilienfeld;1018;3943,90206105687;314;2021-01-19T09:02:00
Linz(Stadt);8965;4357,73796214382;401;2021-01-19T09:02:00
Linz-Land;6729;4477,85031243137;410;2021-01-19T09:02:00
Mattersburg;1255;3143,39386349405;106;2021-01-19T09:02:00
Melk;3355;4303,37856904646;315;2021-01-19T09:02:00
