Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;10716;3.64;12404;4.21;294436;1
Kärnten;24605;4.38;30615;5.45;561293;2
Niederösterreich;66480;3.95;79240;4.7;1684287;3
Oberösterreich;70300;4.72;83230;5.58;1490279;4
Salzburg;22999;4.12;27707;4.96;558410;5
Steiermark;65303;5.24;71543;5.74;1246395;6
Tirol;33178;4.38;38070;5.02;757634;7
Vorarlberg;20363;5.13;22691;5.71;397139;8
Wien;91411;4.78;111653;5.84;1911191;9
Österreich;405355;4.55;477153;5.36;8901064;10
Stand;2021-02-12 18:00;2021-02-12 18:00;2021-02-12 18:00;2021-02-12 18:00;2020-01-01 00:00;
