Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14637;51;0;4
Rust(Stadt);102;1940;3;0;0
Eisenstadt-Umgebung;103;42927;156;3;24
Güssing;104;25797;111;0;14
Jennersdorf;105;17066;22;0;3
Mattersburg;106;39925;169;1;16
Neusiedl am See;107;59552;331;4;77
Oberpullendorf;108;37513;112;1;24
Oberwart;109;54076;305;4;55
Klagenfurt Stadt;201;100817;304;3;75
Villach Stadt;202;62243;145;0;25
Hermagor;203;18224;61;0;4
Klagenfurt Land;204;59800;138;2;27
Sankt Veit an der Glan;205;54555;170;0;69
Spittal an der Drau;206;76091;101;1;14
Villach Land;207;64668;151;2;21
Völkermarkt;208;41878;160;4;33
Wolfsberg;209;52726;103;1;13
Feldkirchen;210;29937;48;0;10
Krems an der Donau(Stadt);301;24876;157;4;11
Sankt Pölten(Stadt);302;55044;390;8;74
Waidhofen an der Ybbs(Stadt);303;11261;40;3;6
Wiener Neustadt(Stadt);304;45277;311;0;34
Amstetten;305;116114;490;16;51
Baden;306;146203;864;7;132
Bruck an der Leitha;307;102010;585;5;81
Gänserndorf;308;103686;602;5;92
Gmünd;309;36773;166;1;33
Hollabrunn;310;50858;133;2;17
Horn;311;31090;134;5;10
Korneuburg;312;90889;566;6;64
Krems(Land);313;56596;380;8;35
Lilienfeld;314;25812;124;5;11
Melk;315;77962;425;5;33
Mistelbach;316;75483;419;7;45
Mödling;317;118998;780;11;112
Neunkirchen;318;86291;569;8;53
Sankt Pölten(Land);319;131044;725;11;94
Scheibbs;320;41403;184;2;15
Tulln;321;103771;511;6;79
Waidhofen an der Thaya;322;25888;183;2;23
Wiener Neustadt(Land);323;77991;343;9;42
Zwettl;325;42222;234;2;34
Linz(Stadt);401;205726;1707;21;176
Steyr(Stadt);402;38193;224;2;40
Wels(Stadt);403;61727;562;0;115
Braunau am Inn;404;104408;437;6;68
Eferding;405;33156;163;6;31
Freistadt;406;66621;359;6;30
Gmunden;407;101631;471;3;91
Grieskirchen;408;64721;301;1;80
Kirchdorf an der Krems;409;56866;170;2;19
Linz-Land;410;150273;1119;10;77
Perg;411;68459;495;4;23
Ried im Innkreis;412;61204;411;0;98
Rohrbach;413;56524;374;0;81
Schärding;414;57307;251;1;89
Steyr-Land;415;60427;353;7;64
Urfahr-Umgebung;416;85505;552;6;53
Vöcklabruck;417;136253;712;4;150
Wels-Land;418;73094;380;1;50
Salzburg(Stadt);501;154211;737;3;104
Hallein;502;60374;590;2;275
Salzburg-Umgebung;503;152281;784;11;222
Sankt Johann im Pongau;504;80573;791;18;154
Tamsweg;505;20320;67;1;17
Zell am See;506;87462;538;9;54
Graz(Stadt);601;288806;1524;54;153
Deutschlandsberg;603;60821;129;2;14
Graz-Umgebung;606;154260;576;37;70
Leibnitz;610;82484;322;9;42
Leoben;611;60060;191;3;59
Liezen;612;79901;257;2;37
Murau;614;27659;42;0;3
Voitsberg;616;51161;232;6;59
Weiz;617;90343;373;18;66
Murtal;620;72004;187;2;49
Bruck-Mürzzuschlag;621;98984;249;10;41
Hartberg-Fürstenfeld;622;90622;451;41;37
Südoststeiermark;623;85947;127;2;27
Innsbruck-Stadt;701;132110;1795;7;302
Imst;702;60056;565;6;98
Innsbruck-Land;703;179318;1476;14;315
Kitzbühel;704;63881;507;11;25
Kufstein;705;109682;1106;35;84
Landeck;706;44362;1261;16;55
Lienz;707;48753;206;6;21
Reutte;708;32670;138;1;13
Schwaz;709;83873;961;15;176
Bludenz;801;63714;551;6;74
Bregenz;802;134383;843;11;188
Dornbirn;803;89041;625;6;102
Feldkirch;804;107159;779;4;179
Wien;900;1897491;22478;289;2835
