Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;528;9;24
Rust(Stadt);102;1980;60;0;9
Eisenstadt-Umgebung;103;43236;1292;18;62
Güssing;104;25699;991;14;62
Jennersdorf;105;17097;654;16;28
Mattersburg;106;40042;1223;21;53
Neusiedl am See;107;59990;1703;27;115
Oberpullendorf;108;37384;1406;17;65
Oberwart;109;54192;1914;51;47
Klagenfurt Stadt;201;101300;3948;126;149
Villach Stadt;202;62882;2127;47;89
Hermagor;203;18054;989;15;102
Klagenfurt Land;204;60014;2387;26;145
Sankt Veit an der Glan;205;54186;2527;74;207
Spittal an der Drau;206;75868;2191;31;239
Villach Land;207;64618;2382;57;137
Völkermarkt;208;41862;2365;43;109
Wolfsberg;209;52607;2400;59;131
Feldkirchen;210;29902;1345;32;93
Krems an der Donau(Stadt);301;25036;884;29;24
Sankt Pölten(Stadt);302;55514;2249;32;61
Waidhofen an der Ybbs(Stadt);303;11222;540;7;49
Wiener Neustadt(Stadt);304;45823;1663;31;94
Amstetten;305;116520;6445;102;306
Baden;306;146751;4570;64;258
Bruck an der Leitha;307;103735;2909;55;126
Gänserndorf;308;104782;2446;27;185
Gmünd;309;36553;1532;33;38
Hollabrunn;310;51033;1197;26;38
Horn;311;30936;627;10;15
Korneuburg;312;91254;2344;27;80
Krems(Land);313;56487;1983;25;60
Lilienfeld;314;25655;969;28;20
Melk;315;78191;3214;67;118
Mistelbach;316;75625;1591;27;78
Mödling;317;119115;3444;66;137
Neunkirchen;318;86343;2934;56;196
Sankt Pölten(Land);319;131729;4352;79;140
Scheibbs;320;41414;2117;24;81
Tulln;321;104593;3047;40;148
Waidhofen an der Thaya;322;25682;866;13;33
Wiener Neustadt(Land);323;78307;2267;31;133
Zwettl;325;41987;1787;18;101
Linz(Stadt);401;206595;8776;166;234
Steyr(Stadt);402;38056;1604;17;39
Wels(Stadt);403;62470;3141;50;71
Braunau am Inn;404;105553;4525;54;188
Eferding;405;33178;2046;25;31
Freistadt;406;66861;3703;73;128
Gmunden;407;101859;4775;72;279
Grieskirchen;408;64875;3857;56;138
Kirchdorf an der Krems;409;57071;2519;55;172
Linz-Land;410;151371;6511;73;191
Perg;411;68968;3665;44;130
Ried im Innkreis;412;61690;3742;71;130
Rohrbach;413;56545;3966;86;98
Schärding;414;57391;3704;59;133
Steyr-Land;415;60717;3092;59;86
Urfahr-Umgebung;416;86005;4680;64;65
Vöcklabruck;417;137297;6861;115;291
Wels-Land;418;73777;3159;44;147
Salzburg(Stadt);501;155021;6657;68;442
Hallein;502;60824;4095;33;387
Salzburg-Umgebung;503;153492;7495;73;458
Sankt Johann im Pongau;504;81194;5575;79;292
Tamsweg;505;20251;1523;30;113
Zell am See;506;87628;4678;74;345
Graz(Stadt);601;291072;9246;206;345
Deutschlandsberg;603;60867;1961;55;132
Graz-Umgebung;606;156070;4915;193;214
Leibnitz;610;84756;3139;71;114
Leoben;611;59700;2102;78;91
Liezen;612;79652;3139;74;222
Murau;614;27543;1050;16;57
Voitsberg;616;51044;1940;73;44
Weiz;617;90654;2851;101;104
Murtal;620;71698;2886;116;208
Bruck-Mürzzuschlag;621;98697;3730;171;120
Hartberg-Fürstenfeld;622;90606;3799;138;164
Südoststeiermark;623;84036;3096;115;131
Innsbruck-Stadt;701;131961;6448;79;105
Imst;702;60474;3085;30;97
Innsbruck-Land;703;180453;9212;111;230
Kitzbühel;704;64168;2845;26;167
Kufstein;705;110287;6485;111;179
Landeck;706;44386;2699;30;104
Lienz;707;48738;2684;38;129
Reutte;708;32838;1004;3;44
Schwaz;709;84329;6869;100;135
Bludenz;801;64107;2891;38;86
Bregenz;802;134987;6310;84;193
Dornbirn;803;89912;5210;42;224
Feldkirch;804;108133;5446;62;202
Wien;900;1911191;74118;1162;2247
