Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;7683;132;1;2020-12-16T10:02:00
Kärnten;16385;317;2;2020-12-16T10:02:00
Niederösterreich;42517;668;3;2020-12-16T10:02:00
Oberösterreich;60639;842;4;2020-12-16T10:02:00
Salzburg;21617;282;5;2020-12-16T10:02:00
Steiermark;28077;662;6;2020-12-16T10:02:00
Tirol;35109;422;7;2020-12-16T10:02:00
Vorarlberg;15945;187;8;2020-12-16T10:02:00
Wien;59778;889;9;2020-12-16T10:02:00
