Altersgruppe;Anzahl;Timestamp
<5;0;2020-12-22T14:02:00
5-14;0;2020-12-22T14:02:00
15-24;1;2020-12-22T14:02:00
25-34;5;2020-12-22T14:02:00
35-44;12;2020-12-22T14:02:00
45-54;66;2020-12-22T14:02:00
55-64;230;2020-12-22T14:02:00
65-74;682;2020-12-22T14:02:00
75-84;1757;2020-12-22T14:02:00
>84;2343;2020-12-22T14:02:00
