Bundesland;Anzahl;GKZ;Timestamp
Wien;3501;9;2021-01-06T11:02:00
Vorarlberg;1189;8;2021-01-06T11:02:00
Tirol;1834;7;2021-01-06T11:02:00
Steiermark;3137;6;2021-01-06T11:02:00
Salzburg;2434;5;2021-01-06T11:02:00
Oberösterreich;2462;4;2021-01-06T11:02:00
Niederösterreich;2697;3;2021-01-06T11:02:00
Kärnten;1066;2;2021-01-06T11:02:00
Burgenland;615;1;2021-01-06T11:02:00
