Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;4410;1.50;5898;2.00;294436;1
Kärnten;9510;1.69;12030;2.14;561293;2
Niederösterreich;23665;1.41;27262;1.62;1684287;3
Oberösterreich;20269;1.36;36258;2.43;1490279;4
Salzburg;9445;1.69;12235;2.19;558410;5
Steiermark;24735;1.98;29638;2.38;1246395;6
Tirol;13363;1.76;14453;1.91;757634;7
Vorarlberg;9895;2.49;10438;2.63;397139;8
Wien;35411;1.85;45949;2.40;1911191;9
Österreich;150703;1.69;194161;2.18;8901064;10
Stand;2021-01-20 18:00:00;2021-01-20 18:00:00;2021-01-20 18:00:00;2021-01-20 18:00:00;2020-01-01 00:00:00;
