Altersgruppe;Anzahl;Timestamp
<5;3008;2021-01-12T00:02:00
5-14;20863;2021-01-12T00:02:00
15-24;53368;2021-01-12T00:02:00
25-34;61854;2021-01-12T00:02:00
35-44;56334;2021-01-12T00:02:00
45-54;68054;2021-01-12T00:02:00
55-64;52264;2021-01-12T00:02:00
65-74;26004;2021-01-12T00:02:00
75-84;22876;2021-01-12T00:02:00
>84;15751;2021-01-12T00:02:00
