Bundesland;Anzahl;GKZ;Timestamp
Wien;468;9;2020-05-22T00:00:00
Vorarlberg;16;8;2020-05-22T00:00:00
Tirol;38;7;2020-05-22T00:00:00
Steiermark;101;6;2020-05-22T00:00:00
Salzburg;12;5;2020-05-22T00:00:00
Oberösterreich;29;4;2020-05-22T00:00:00
Niederösterreich;139;3;2020-05-22T00:00:00
Kärnten;5;2;2020-05-22T00:00:00
Burgenland;12;1;2020-05-22T00:00:00
