Bundesland;Anzahl;GKZ;Timestamp
Wien;2556;9;2021-01-28T09:02:00
Vorarlberg;715;8;2021-01-28T09:02:00
Tirol;1267;7;2021-01-28T09:02:00
Steiermark;2175;6;2021-01-28T09:02:00
Salzburg;1755;5;2021-01-28T09:02:00
Oberösterreich;1618;4;2021-01-28T09:02:00
Niederösterreich;3291;3;2021-01-28T09:02:00
Kärnten;1024;2;2021-01-28T09:02:00
Burgenland;465;1;2021-01-28T09:02:00
