time;tägliche Erkrankungen;Timestamp
25.02.2020;2;2020-10-09T22:02:00
26.02.2020;0;2020-10-09T22:02:00
27.02.2020;3;2020-10-09T22:02:00
28.02.2020;4;2020-10-09T22:02:00
29.02.2020;2;2020-10-09T22:02:00
01.03.2020;1;2020-10-09T22:02:00
02.03.2020;7;2020-10-09T22:02:00
03.03.2020;7;2020-10-09T22:02:00
04.03.2020;11;2020-10-09T22:02:00
05.03.2020;16;2020-10-09T22:02:00
06.03.2020;19;2020-10-09T22:02:00
07.03.2020;18;2020-10-09T22:02:00
08.03.2020;27;2020-10-09T22:02:00
09.03.2020;33;2020-10-09T22:02:00
10.03.2020;58;2020-10-09T22:02:00
11.03.2020;110;2020-10-09T22:02:00
12.03.2020;98;2020-10-09T22:02:00
13.03.2020;207;2020-10-09T22:02:00
14.03.2020;186;2020-10-09T22:02:00
15.03.2020;198;2020-10-09T22:02:00
16.03.2020;218;2020-10-09T22:02:00
17.03.2020;359;2020-10-09T22:02:00
18.03.2020;353;2020-10-09T22:02:00
19.03.2020;382;2020-10-09T22:02:00
20.03.2020;529;2020-10-09T22:02:00
21.03.2020;470;2020-10-09T22:02:00
22.03.2020;626;2020-10-09T22:02:00
23.03.2020;750;2020-10-09T22:02:00
24.03.2020;684;2020-10-09T22:02:00
25.03.2020;729;2020-10-09T22:02:00
26.03.2020;1060;2020-10-09T22:02:00
27.03.2020;827;2020-10-09T22:02:00
28.03.2020;679;2020-10-09T22:02:00
29.03.2020;529;2020-10-09T22:02:00
30.03.2020;620;2020-10-09T22:02:00
31.03.2020;572;2020-10-09T22:02:00
01.04.2020;511;2020-10-09T22:02:00
02.04.2020;462;2020-10-09T22:02:00
03.04.2020;417;2020-10-09T22:02:00
04.04.2020;295;2020-10-09T22:02:00
05.04.2020;173;2020-10-09T22:02:00
06.04.2020;273;2020-10-09T22:02:00
07.04.2020;306;2020-10-09T22:02:00
08.04.2020;267;2020-10-09T22:02:00
09.04.2020;292;2020-10-09T22:02:00
10.04.2020;372;2020-10-09T22:02:00
11.04.2020;210;2020-10-09T22:02:00
12.04.2020;110;2020-10-09T22:02:00
13.04.2020;89;2020-10-09T22:02:00
14.04.2020;147;2020-10-09T22:02:00
15.04.2020;117;2020-10-09T22:02:00
16.04.2020;126;2020-10-09T22:02:00
17.04.2020;96;2020-10-09T22:02:00
18.04.2020;62;2020-10-09T22:02:00
19.04.2020;46;2020-10-09T22:02:00
20.04.2020;57;2020-10-09T22:02:00
21.04.2020;64;2020-10-09T22:02:00
22.04.2020;80;2020-10-09T22:02:00
23.04.2020;63;2020-10-09T22:02:00
24.04.2020;83;2020-10-09T22:02:00
25.04.2020;56;2020-10-09T22:02:00
26.04.2020;42;2020-10-09T22:02:00
27.04.2020;65;2020-10-09T22:02:00
28.04.2020;52;2020-10-09T22:02:00
29.04.2020;55;2020-10-09T22:02:00
30.04.2020;64;2020-10-09T22:02:00
01.05.2020;30;2020-10-09T22:02:00
02.05.2020;32;2020-10-09T22:02:00
03.05.2020;16;2020-10-09T22:02:00
04.05.2020;25;2020-10-09T22:02:00
05.05.2020;44;2020-10-09T22:02:00
06.05.2020;51;2020-10-09T22:02:00
07.05.2020;33;2020-10-09T22:02:00
08.05.2020;47;2020-10-09T22:02:00
09.05.2020;38;2020-10-09T22:02:00
10.05.2020;11;2020-10-09T22:02:00
11.05.2020;73;2020-10-09T22:02:00
12.05.2020;38;2020-10-09T22:02:00
13.05.2020;61;2020-10-09T22:02:00
14.05.2020;43;2020-10-09T22:02:00
15.05.2020;82;2020-10-09T22:02:00
16.05.2020;17;2020-10-09T22:02:00
17.05.2020;26;2020-10-09T22:02:00
18.05.2020;46;2020-10-09T22:02:00
19.05.2020;51;2020-10-09T22:02:00
20.05.2020;45;2020-10-09T22:02:00
21.05.2020;27;2020-10-09T22:02:00
22.05.2020;31;2020-10-09T22:02:00
23.05.2020;27;2020-10-09T22:02:00
24.05.2020;32;2020-10-09T22:02:00
25.05.2020;26;2020-10-09T22:02:00
26.05.2020;27;2020-10-09T22:02:00
27.05.2020;33;2020-10-09T22:02:00
28.05.2020;28;2020-10-09T22:02:00
29.05.2020;28;2020-10-09T22:02:00
30.05.2020;46;2020-10-09T22:02:00
31.05.2020;5;2020-10-09T22:02:00
01.06.2020;19;2020-10-09T22:02:00
02.06.2020;16;2020-10-09T22:02:00
03.06.2020;36;2020-10-09T22:02:00
04.06.2020;34;2020-10-09T22:02:00
05.06.2020;60;2020-10-09T22:02:00
06.06.2020;19;2020-10-09T22:02:00
07.06.2020;43;2020-10-09T22:02:00
08.06.2020;28;2020-10-09T22:02:00
09.06.2020;16;2020-10-09T22:02:00
10.06.2020;36;2020-10-09T22:02:00
11.06.2020;21;2020-10-09T22:02:00
12.06.2020;32;2020-10-09T22:02:00
13.06.2020;18;2020-10-09T22:02:00
14.06.2020;22;2020-10-09T22:02:00
15.06.2020;57;2020-10-09T22:02:00
16.06.2020;10;2020-10-09T22:02:00
17.06.2020;25;2020-10-09T22:02:00
18.06.2020;47;2020-10-09T22:02:00
19.06.2020;54;2020-10-09T22:02:00
20.06.2020;20;2020-10-09T22:02:00
21.06.2020;35;2020-10-09T22:02:00
22.06.2020;31;2020-10-09T22:02:00
23.06.2020;42;2020-10-09T22:02:00
24.06.2020;31;2020-10-09T22:02:00
25.06.2020;51;2020-10-09T22:02:00
26.06.2020;65;2020-10-09T22:02:00
27.06.2020;61;2020-10-09T22:02:00
28.06.2020;66;2020-10-09T22:02:00
29.06.2020;43;2020-10-09T22:02:00
30.06.2020;106;2020-10-09T22:02:00
01.07.2020;84;2020-10-09T22:02:00
02.07.2020;98;2020-10-09T22:02:00
03.07.2020;121;2020-10-09T22:02:00
04.07.2020;117;2020-10-09T22:02:00
05.07.2020;75;2020-10-09T22:02:00
06.07.2020;67;2020-10-09T22:02:00
07.07.2020;92;2020-10-09T22:02:00
08.07.2020;97;2020-10-09T22:02:00
09.07.2020;89;2020-10-09T22:02:00
10.07.2020;90;2020-10-09T22:02:00
11.07.2020;107;2020-10-09T22:02:00
12.07.2020;54;2020-10-09T22:02:00
13.07.2020;96;2020-10-09T22:02:00
14.07.2020;123;2020-10-09T22:02:00
15.07.2020;117;2020-10-09T22:02:00
16.07.2020;166;2020-10-09T22:02:00
17.07.2020;130;2020-10-09T22:02:00
18.07.2020;77;2020-10-09T22:02:00
19.07.2020;85;2020-10-09T22:02:00
20.07.2020;90;2020-10-09T22:02:00
21.07.2020;136;2020-10-09T22:02:00
22.07.2020;162;2020-10-09T22:02:00
23.07.2020;121;2020-10-09T22:02:00
24.07.2020;147;2020-10-09T22:02:00
25.07.2020;116;2020-10-09T22:02:00
26.07.2020;93;2020-10-09T22:02:00
27.07.2020;108;2020-10-09T22:02:00
28.07.2020;151;2020-10-09T22:02:00
29.07.2020;98;2020-10-09T22:02:00
30.07.2020;191;2020-10-09T22:02:00
31.07.2020;122;2020-10-09T22:02:00
01.08.2020;60;2020-10-09T22:02:00
02.08.2020;79;2020-10-09T22:02:00
03.08.2020;82;2020-10-09T22:02:00
04.08.2020;94;2020-10-09T22:02:00
05.08.2020;155;2020-10-09T22:02:00
06.08.2020;125;2020-10-09T22:02:00
07.08.2020;98;2020-10-09T22:02:00
08.08.2020;101;2020-10-09T22:02:00
09.08.2020;75;2020-10-09T22:02:00
10.08.2020;158;2020-10-09T22:02:00
11.08.2020;185;2020-10-09T22:02:00
