Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;922;13;1;2020-10-17T17:22:41
Kärnten;1047;13;2;2020-10-17T17:22:41
Niederösterreich;7776;132;3;2020-10-17T17:22:41
Oberösterreich;7452;76;4;2020-10-17T17:22:41
Salzburg;2444;44;5;2020-10-17T17:22:41
Steiermark;3551;171;6;2020-10-17T17:22:41
Tirol;6738;104;7;2020-10-17T17:22:41
Vorarlberg;2047;27;8;2020-10-17T17:22:41
Wien;16320;288;9;2020-10-17T17:22:41
