Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;442;380,660385483232;305;2020-10-09T09:02:00
Baden;740;506,145564728494;306;2020-10-09T09:02:00
Bludenz;478;750,227579495872;801;2020-10-09T09:02:00
Braunau am Inn;367;351,505631752356;404;2020-10-09T09:02:00
Bregenz;656;488,156984142339;802;2020-10-09T09:02:00
Bruck an der Leitha;501;491,128320752867;307;2020-10-09T09:02:00
Bruck-MÃ¼rzzuschlag;207;209,124707023357;621;2020-10-09T09:02:00
Deutschlandsberg;114;187,435260847405;603;2020-10-09T09:02:00
Dornbirn;523;587,369863321391;803;2020-10-09T09:02:00
Eferding;131;395,101942333213;405;2020-10-09T09:02:00
Eisenstadt(Stadt);47;321,104051376648;101;2020-10-09T09:02:00
Eisenstadt-Umgebung;133;309,828313182845;103;2020-10-09T09:02:00
Feldkirch;604;563,64841030618;804;2020-10-09T09:02:00
Feldkirchen;38;126,933226442195;210;2020-10-09T09:02:00
Freistadt;329;493,838279221267;406;2020-10-09T09:02:00
GÃ¤nserndorf;513;494,763034546612;308;2020-10-09T09:02:00
GÃ¼ssing;97;376,012714656743;104;2020-10-09T09:02:00
GmÃ¼nd;139;377,994724390178;309;2020-10-09T09:02:00
Gmunden;377;370,949808621385;407;2020-10-09T09:02:00
Graz(Stadt);1374;475,751888811174;601;2020-10-09T09:02:00
Graz-Umgebung;505;327,369376377544;606;2020-10-09T09:02:00
Grieskirchen;224;346,100956412911;408;2020-10-09T09:02:00
Hallein;316;523,404114353861;502;2020-10-09T09:02:00
Hartberg-FÃ¼rstenfeld;412;454,635739665865;622;2020-10-09T09:02:00
Hermagor;57;312,774363476734;203;2020-10-09T09:02:00
Hollabrunn;117;230,052302489284;310;2020-10-09T09:02:00
Horn;124;398,842071405597;311;2020-10-09T09:02:00
Imst;467;777,60756627148;702;2020-10-09T09:02:00
Innsbruck-Land;1086;605,627990497329;703;2020-10-09T09:02:00
Innsbruck-Stadt;1452;1099,08409658618;701;2020-10-09T09:02:00
Jennersdorf;19;111,332473924763;105;2020-10-09T09:02:00
Kirchdorf an der Krems;151;265,536524461014;409;2020-10-09T09:02:00
KitzbÃ¼hel;482;754,527950407789;704;2020-10-09T09:02:00
Klagenfurt Land;110;183,946488294314;204;2020-10-09T09:02:00
Klagenfurt Stadt;229;227,144231627602;201;2020-10-09T09:02:00
Korneuburg;500;550,121576868488;312;2020-10-09T09:02:00
Krems an der Donau(Stadt);143;574,851262260814;301;2020-10-09T09:02:00
Krems(Land);344;607,816806841473;313;2020-10-09T09:02:00
Kufstein;1000;911,726627887894;705;2020-10-09T09:02:00
Landeck;1195;2693,74690050043;706;2020-10-09T09:02:00
Leibnitz;278;337,035061345231;610;2020-10-09T09:02:00
Leoben;133;221,445221445221;611;2020-10-09T09:02:00
Lienz;185;379,463827867003;707;2020-10-09T09:02:00
Liezen (inkl. Gröbming);219;274,089185366892;612;2020-10-09T09:02:00
Lilienfeld;110;426,158375949171;314;2020-10-09T09:02:00
Linz(Stadt);1525;741,277232824242;401;2020-10-09T09:02:00
Linz-Land;1043;694,070125704551;410;2020-10-09T09:02:00
MÃ¶dling;668;561,353972335669;317;2020-10-09T09:02:00
Mattersburg;153;383,218534752661;106;2020-10-09T09:02:00
Melk;392;502,809060824504;315;2020-10-09T09:02:00
Mistelbach;373;494,151000887617;316;2020-10-09T09:02:00
Murau;40;144,618388228063;614;2020-10-09T09:02:00
Murtal;134;186,100772179323;620;2020-10-09T09:02:00
Neunkirchen;516;597,976614015367;318;2020-10-09T09:02:00
Neusiedl am See;253;424,838796346051;107;2020-10-09T09:02:00
Oberpullendorf;87;231,919601204916;108;2020-10-09T09:02:00
Oberwart;251;464,161550410533;109;2020-10-09T09:02:00
Perg;472;689,463766634044;411;2020-10-09T09:02:00
Reutte;124;379,553106825834;708;2020-10-09T09:02:00
Ried im Innkreis;313;511,4044833671;412;2020-10-09T09:02:00
Rohrbach;293;518,363880829382;413;2020-10-09T09:02:00
Rust(Stadt);3;154,639175257732;102;2020-10-09T09:02:00
SÃ¼doststeiermark;101;117,514282057547;623;2020-10-09T09:02:00
Salzburg(Stadt);625;405,288857474499;501;2020-10-09T09:02:00
Salzburg-Umgebung;560;367,74121525338;503;2020-10-09T09:02:00
Sankt Johann im Pongau;637;790,587417621288;504;2020-10-09T09:02:00
Sankt PÃ¶lten(Land);623;475,412838435945;319;2020-10-09T09:02:00
Sankt PÃ¶lten(Stadt);319;579,536370903277;302;2020-10-09T09:02:00
Sankt Veit an der Glan;101;185,134268169737;205;2020-10-09T09:02:00
SchÃ¤rding;157;273,963041164256;414;2020-10-09T09:02:00
Scheibbs;170;410,598265826148;320;2020-10-09T09:02:00
Schwaz;772;920,439235510832;709;2020-10-09T09:02:00
Spittal an der Drau;89;116,965212705839;206;2020-10-09T09:02:00
Steyr(Stadt);184;481,76367397167;402;2020-10-09T09:02:00
Steyr-Land;289;478,26302811657;415;2020-10-09T09:02:00
Tamsweg;50;246,062992125984;505;2020-10-09T09:02:00
Tulln;438;422,083240982548;321;2020-10-09T09:02:00
Urfahr-Umgebung;498;582,422080580083;416;2020-10-09T09:02:00
VÃ¶cklabruck;568;416,871555121722;417;2020-10-09T09:02:00
VÃ¶lkermarkt;126;300,873967238168;208;2020-10-09T09:02:00
Villach Land;129;199,48042308406;207;2020-10-09T09:02:00
Villach Stadt;121;194,399370210305;202;2020-10-09T09:02:00
Voitsberg;174;340,102812689353;616;2020-10-09T09:02:00
Waidhofen an der Thaya;160;618,046971569839;322;2020-10-09T09:02:00
Waidhofen an der Ybbs(Stadt);31;275,28638664417;303;2020-10-09T09:02:00
Weiz;308;340,922927066845;617;2020-10-09T09:02:00
Wels(Stadt);448;725,776402546698;403;2020-10-09T09:02:00
Wels-Land;331;452,841546501765;418;2020-10-09T09:02:00
Wien(Stadt);19688;1037,58067890704;900;2020-10-09T09:02:00
Wiener Neustadt(Land);296;379,530971522355;323;2020-10-09T09:02:00
Wiener Neustadt(Stadt);277;611,789650374362;304;2020-10-09T09:02:00
Wolfsberg;89;168,797177862914;209;2020-10-09T09:02:00
Zell am See;483;552,239829868972;506;2020-10-09T09:02:00
Zwettl;198;468,949836578087;325;2020-10-09T09:02:00
