Bundesland;Anzahl;GKZ;Timestamp
Wien;511;9;2020-04-26T02:59:59
Vorarlberg;112;8;2020-04-26T02:59:59
Tirol;381;7;2020-04-26T02:59:59
Steiermark;572;6;2020-04-26T02:59:59
Salzburg;152;5;2020-04-26T02:59:59
Oberösterreich;166;4;2020-04-26T02:59:59
Niederösterreich;507;3;2020-04-26T02:59:59
Kärnten;30;2;2020-04-26T02:59:59
Burgenland;78;1;2020-04-26T02:59:59
