Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14637;49;0;4
Rust(Stadt);102;1940;3;0;0
Eisenstadt-Umgebung;103;42927;141;1;22
Güssing;104;25797;105;0;17
Jennersdorf;105;17066;19;0;0
Mattersburg;106;39925;160;1;17
Neusiedl am See;107;59552;294;4;87
Oberpullendorf;108;37513;98;1;26
Oberwart;109;54076;270;4;44
Klagenfurt Stadt;201;100817;270;3;56
Villach Stadt;202;62243;133;0;24
Hermagor;203;18224;59;0;6
Klagenfurt Land;204;59800;123;2;23
Sankt Veit an der Glan;205;54555;129;0;47
Spittal an der Drau;206;76091;93;1;11
Villach Land;207;64668;136;2;9
Völkermarkt;208;41878;149;4;42
Wolfsberg;209;52726;94;1;4
Feldkirchen;210;29937;43;0;7
Krems an der Donau(Stadt);301;24876;149;4;11
Sankt Pölten(Stadt);302;55044;348;5;73
Waidhofen an der Ybbs(Stadt);303;11261;33;3;3
Wiener Neustadt(Stadt);304;45277;286;0;29
Amstetten;305;116114;455;16;40
Baden;306;146203;802;7;126
Bruck an der Leitha;307;102010;521;5;79
Gänserndorf;308;103686;551;5;103
Gmünd;309;36773;150;1;28
Hollabrunn;310;50858;120;2;14
Horn;311;31090;128;5;13
Korneuburg;312;90889;523;6;84
Krems(Land);313;56596;356;8;41
Lilienfeld;314;25812;112;5;10
Melk;315;77962;401;5;38
Mistelbach;316;75483;395;7;56
Mödling;317;118998;726;11;129
Neunkirchen;318;86291;534;8;42
Sankt Pölten(Land);319;131044;653;11;90
Scheibbs;320;41403;174;2;8
Tulln;321;103771;458;6;67
Waidhofen an der Thaya;322;25888;163;2;17
Wiener Neustadt(Land);323;77991;315;9;49
Zwettl;325;42222;212;2;26
Linz(Stadt);401;205726;1588;20;139
Steyr(Stadt);402;38193;193;2;19
Wels(Stadt);403;61727;498;0;112
Braunau am Inn;404;104408;392;5;53
Eferding;405;33156;135;6;7
Freistadt;406;66621;336;6;26
Gmunden;407;101631;405;3;94
Grieskirchen;408;64721;248;1;55
Kirchdorf an der Krems;409;56866;159;2;13
Linz-Land;410;150273;1084;9;82
Perg;411;68459;482;4;26
Ried im Innkreis;412;61204;340;0;63
Rohrbach;413;56524;341;0;85
Schärding;414;57307;187;1;55
Steyr-Land;415;60427;318;7;39
Urfahr-Umgebung;416;85505;525;6;48
Vöcklabruck;417;136253;631;4;134
Wels-Land;418;73094;355;1;46
Salzburg(Stadt);501;154211;655;3;86
Hallein;502;60374;393;1;143
Salzburg-Umgebung;503;152281;602;11;97
Sankt Johann im Pongau;504;80573;679;18;72
Tamsweg;505;20320;55;1;15
Zell am See;506;87462;496;9;24
Graz(Stadt);601;288806;1412;52;101
Deutschlandsberg;603;60821;119;2;13
Graz-Umgebung;606;154260;529;36;49
Leibnitz;610;82484;294;9;27
Leoben;611;60060;159;3;48
Liezen;612;79901;234;1;30
Murau;614;27659;39;0;1
Voitsberg;616;51161;200;5;38
Weiz;617;90343;331;18;35
Murtal;620;72004;149;2;29
Bruck-Mürzzuschlag;621;98984;227;5;59
Hartberg-Fürstenfeld;622;90622;423;41;19
Südoststeiermark;623;85947;105;2;9
Innsbruck-Stadt;701;132110;1574;7;223
Imst;702;60056;508;6;76
Innsbruck-Land;703;179318;1143;14;132
Kitzbühel;704;63881;487;11;9
Kufstein;705;109682;1035;35;60
Landeck;706;44362;1214;16;37
Lienz;707;48753;187;6;4
Reutte;708;32670;131;1;10
Schwaz;709;83873;828;14;111
Bludenz;801;63714;500;6;38
Bregenz;802;134383;724;11;113
Dornbirn;803;89041;550;6;59
Feldkirch;804;107159;663;4;123
Wien;900;1897491;20796;277;3011
