Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;599;9;9
Rust(Stadt);102;1980;68;0;0
Eisenstadt-Umgebung;103;43236;1574;22;90
Güssing;104;25699;1321;41;53
Jennersdorf;105;17097;928;20;47
Mattersburg;106;40042;1527;24;63
Neusiedl am See;107;59990;2242;30;109
Oberpullendorf;108;37384;1607;24;31
Oberwart;109;54192;2279;57;95
Klagenfurt Stadt;201;101300;4682;146;146
Villach Stadt;202;62882;2572;58;88
Hermagor;203;18054;1489;18;119
Klagenfurt Land;204;60014;3030;58;56
Sankt Veit an der Glan;205;54186;2968;93;69
Spittal an der Drau;206;75868;3651;94;163
Villach Land;207;64618;3059;66;71
Völkermarkt;208;41862;2792;54;79
Wolfsberg;209;52607;2685;65;30
Feldkirchen;210;29902;1678;42;39
Krems an der Donau(Stadt);301;25036;992;23;13
Sankt Pölten(Stadt);302;55514;2538;45;57
Waidhofen an der Ybbs(Stadt);303;11222;645;10;11
Wiener Neustadt(Stadt);304;45823;2403;61;179
Amstetten;305;116520;7427;122;82
Baden;306;146751;6170;92;326
Bruck an der Leitha;307;103735;3695;66;165
Gänserndorf;308;104782;3608;50;247
Gmünd;309;36553;1848;35;75
Hollabrunn;310;51033;1672;41;135
Horn;311;30936;866;12;49
Korneuburg;312;91254;2888;41;112
Krems(Land);313;56487;2426;30;41
Lilienfeld;314;25655;1111;30;38
Melk;315;78191;3819;81;123
Mistelbach;316;75625;2368;30;165
Mödling;317;119115;4191;96;163
Neunkirchen;318;86343;3746;77;181
Sankt Pölten(Land);319;131729;5149;97;155
Scheibbs;320;41414;2572;32;45
Tulln;321;104593;3853;69;121
Waidhofen an der Thaya;322;25682;1109;14;74
Wiener Neustadt(Land);323;78307;3121;56;206
Zwettl;325;41987;2410;27;96
Linz(Stadt);401;206595;9826;206;212
Steyr(Stadt);402;38056;1730;18;23
Wels(Stadt);403;62470;3793;58;138
Braunau am Inn;404;105553;5767;69;206
Eferding;405;33178;2258;29;33
Freistadt;406;66861;4158;84;52
Gmunden;407;101859;5832;93;115
Grieskirchen;408;64875;4320;67;54
Kirchdorf an der Krems;409;57071;2910;73;53
Linz-Land;410;151371;7353;79;150
Perg;411;68968;4251;63;88
Ried im Innkreis;412;61690;4291;88;86
Rohrbach;413;56545;4428;93;77
Schärding;414;57391;4222;61;102
Steyr-Land;415;60717;3387;62;66
Urfahr-Umgebung;416;86005;5046;69;63
Vöcklabruck;417;137297;7860;134;161
Wels-Land;418;73777;3736;50;99
Salzburg(Stadt);501;155021;8385;115;174
Hallein;502;60824;5066;55;104
Salzburg-Umgebung;503;153492;9070;95;215
Sankt Johann im Pongau;504;81194;7113;94;228
Tamsweg;505;20251;2023;37;21
Zell am See;506;87628;5476;95;103
Graz(Stadt);601;291072;11151;253;386
Deutschlandsberg;603;60867;2660;89;79
Graz-Umgebung;606;156070;6071;221;210
Leibnitz;610;84756;3886;88;163
Leoben;611;59700;2443;89;60
Liezen;612;79652;3962;95;72
Murau;614;27543;1320;19;22
Voitsberg;616;51044;2266;89;36
Weiz;617;90654;3744;127;186
Murtal;620;71698;3445;145;48
Bruck-Mürzzuschlag;621;98697;4618;215;131
Hartberg-Fürstenfeld;622;90606;4908;160;228
Südoststeiermark;623;84036;4249;144;193
Innsbruck-Stadt;701;131961;7014;87;60
Imst;702;60474;3446;33;65
Innsbruck-Land;703;180453;10102;127;103
Kitzbühel;704;64168;3477;37;54
Kufstein;705;110287;7206;129;88
Landeck;706;44386;2952;42;32
Lienz;707;48738;3486;41;83
Reutte;708;32838;1370;4;36
Schwaz;709;84329;7866;120;168
Bludenz;801;64107;3405;45;49
Bregenz;802;134987;7191;93;47
Dornbirn;803;89912;6027;63;62
Feldkirch;804;108133;6369;71;86
Wien;900;1911191;88759;1666;2797
