time;Todesfälle;Timestamp
26.02.2020;0;2020-07-15T16:00:00
27.02.2020;0;2020-07-15T16:00:00
28.02.2020;0;2020-07-15T16:00:00
29.02.2020;0;2020-07-15T16:00:00
01.03.2020;0;2020-07-15T16:00:00
02.03.2020;0;2020-07-15T16:00:00
03.03.2020;0;2020-07-15T16:00:00
04.03.2020;0;2020-07-15T16:00:00
05.03.2020;0;2020-07-15T16:00:00
06.03.2020;0;2020-07-15T16:00:00
07.03.2020;0;2020-07-15T16:00:00
08.03.2020;0;2020-07-15T16:00:00
09.03.2020;0;2020-07-15T16:00:00
10.03.2020;0;2020-07-15T16:00:00
11.03.2020;0;2020-07-15T16:00:00
12.03.2020;1;2020-07-15T16:00:00
13.03.2020;1;2020-07-15T16:00:00
14.03.2020;2;2020-07-15T16:00:00
15.03.2020;3;2020-07-15T16:00:00
16.03.2020;5;2020-07-15T16:00:00
17.03.2020;7;2020-07-15T16:00:00
18.03.2020;11;2020-07-15T16:00:00
19.03.2020;14;2020-07-15T16:00:00
20.03.2020;19;2020-07-15T16:00:00
21.03.2020;23;2020-07-15T16:00:00
22.03.2020;31;2020-07-15T16:00:00
23.03.2020;43;2020-07-15T16:00:00
24.03.2020;53;2020-07-15T16:00:00
25.03.2020;62;2020-07-15T16:00:00
26.03.2020;78;2020-07-15T16:00:00
27.03.2020;96;2020-07-15T16:00:00
28.03.2020;113;2020-07-15T16:00:00
29.03.2020;127;2020-07-15T16:00:00
30.03.2020;147;2020-07-15T16:00:00
31.03.2020;164;2020-07-15T16:00:00
01.04.2020;175;2020-07-15T16:00:00
02.04.2020;194;2020-07-15T16:00:00
03.04.2020;211;2020-07-15T16:00:00
04.04.2020;231;2020-07-15T16:00:00
05.04.2020;252;2020-07-15T16:00:00
06.04.2020;279;2020-07-15T16:00:00
07.04.2020;305;2020-07-15T16:00:00
08.04.2020;323;2020-07-15T16:00:00
09.04.2020;343;2020-07-15T16:00:00
10.04.2020;364;2020-07-15T16:00:00
11.04.2020;379;2020-07-15T16:00:00
12.04.2020;391;2020-07-15T16:00:00
13.04.2020;412;2020-07-15T16:00:00
14.04.2020;424;2020-07-15T16:00:00
15.04.2020;439;2020-07-15T16:00:00
