Altersgruppe;Anzahl;Timestamp
<5;0;2020-11-16T16:02:00
5-14;0;2020-11-16T16:02:00
15-24;0;2020-11-16T16:02:00
25-34;3;2020-11-16T16:02:00
35-44;6;2020-11-16T16:02:00
45-54;27;2020-11-16T16:02:00
55-64;67;2020-11-16T16:02:00
65-74;252;2020-11-16T16:02:00
75-84;604;2020-11-16T16:02:00
>84;734;2020-11-16T16:02:00
