Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;8650;154;1;2020-12-30T09:02:00
Kärnten;19117;453;2;2020-12-30T09:02:00
Niederösterreich;49182;826;3;2020-12-30T09:02:00
Oberösterreich;67065;1027;4;2020-12-30T09:02:00
Salzburg;24780;335;5;2020-12-30T09:02:00
Steiermark;36845;1033;6;2020-12-30T09:02:00
Tirol;38176;477;7;2020-12-30T09:02:00
Vorarlberg;18231;208;8;2020-12-30T09:02:00
Wien;66928;1066;9;2020-12-30T09:02:00
