Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;3450;1.17;5370;1.82;294436;1
Kärnten;7270;1.30;9510;1.69;561293;2
Niederösterreich;15905;0.94;27214;1.62;1684287;3
Oberösterreich;10725;0.72;36954;2.48;1490279;4
Salzburg;6735;1.21;10915;1.95;558410;5
Steiermark;14730;1.18;29635;2.38;1246395;6
Tirol;9355;1.23;14153;1.87;757634;7
Vorarlberg;9425;2.37;10438;2.63;397139;8
Wien;25195;1.32;40207;2.10;1911191;9
Österreich;102790;1.15;184396;2.07;8901064;10
Stand;2021-01-18 18:00:00;2021-01-18 18:00:00;2021-01-18 18:00:00;2021-01-18 18:00:00;2020-01-01 00:00:00;
