Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;928;11;6
Rust(Stadt);102;1980;73;0;0
Eisenstadt-Umgebung;103;43236;2293;24;39
Güssing;104;25699;1796;53;25
Jennersdorf;105;17097;1272;25;20
Mattersburg;106;40042;2223;32;42
Neusiedl am See;107;59990;3194;39;54
Oberpullendorf;108;37384;2212;40;32
Oberwart;109;54192;3580;87;56
Klagenfurt Stadt;201;101300;5991;155;125
Villach Stadt;202;62882;3653;68;133
Hermagor;203;18054;1860;28;11
Klagenfurt Land;204;60014;4031;65;108
Sankt Veit an der Glan;205;54186;3808;97;76
Spittal an der Drau;206;75868;5451;118;186
Villach Land;207;64618;4286;79;93
Völkermarkt;208;41862;3552;61;78
Wolfsberg;209;52607;3366;72;53
Feldkirchen;210;29902;2274;52;66
Krems an der Donau(Stadt);301;25036;1328;28;38
Sankt Pölten(Stadt);302;55514;3608;55;99
Waidhofen an der Ybbs(Stadt);303;11222;871;14;23
Wiener Neustadt(Stadt);304;45823;3780;85;51
Amstetten;305;116520;9602;126;182
Baden;306;146751;9589;120;194
Bruck an der Leitha;307;103735;5868;84;159
Gänserndorf;308;104782;5594;64;156
Gmünd;309;36553;2635;43;42
Hollabrunn;310;51033;2494;52;44
Horn;311;30936;1452;26;47
Korneuburg;312;91254;4166;49;64
Krems(Land);313;56487;3144;39;55
Lilienfeld;314;25655;1529;39;38
Melk;315;78191;5567;99;130
Mistelbach;316;75625;3615;34;48
Mödling;317;119115;6229;112;110
Neunkirchen;318;86343;5782;96;72
Sankt Pölten(Land);319;131729;7424;132;130
Scheibbs;320;41414;3672;40;77
Tulln;321;104593;5216;81;94
Waidhofen an der Thaya;322;25682;1665;14;20
Wiener Neustadt(Land);323;78307;5094;92;46
Zwettl;325;41987;3248;37;43
Linz(Stadt);401;206595;12907;215;393
Steyr(Stadt);402;38056;2297;18;68
Wels(Stadt);403;62470;5258;69;152
Braunau am Inn;404;105553;8694;103;258
Eferding;405;33178;2705;32;47
Freistadt;406;66861;5289;93;90
Gmunden;407;101859;7516;105;79
Grieskirchen;408;64875;5037;68;99
Kirchdorf an der Krems;409;57071;4010;81;70
Linz-Land;410;151371;9635;86;244
Perg;411;68968;5606;71;96
Ried im Innkreis;412;61690;5704;96;142
Rohrbach;413;56545;5023;96;55
Schärding;414;57391;5213;69;127
Steyr-Land;415;60717;4072;68;66
Urfahr-Umgebung;416;86005;5928;72;73
Vöcklabruck;417;137297;11006;153;361
Wels-Land;418;73777;5333;59;142
Salzburg(Stadt);501;155021;11306;134;287
Hallein;502;60824;6369;62;205
Salzburg-Umgebung;503;153492;12107;119;281
Sankt Johann im Pongau;504;81194;9321;113;134
Tamsweg;505;20251;2432;40;40
Zell am See;506;87628;7102;103;110
Graz(Stadt);601;291072;15175;288;503
Deutschlandsberg;603;60867;3755;103;143
Graz-Umgebung;606;156070;8188;240;219
Leibnitz;610;84756;5583;106;128
Leoben;611;59700;3230;109;53
Liezen;612;79652;5244;112;92
Murau;614;27543;1833;29;67
Voitsberg;616;51044;3187;106;132
Weiz;617;90654;5664;143;187
Murtal;620;71698;4594;163;163
Bruck-Mürzzuschlag;621;98697;5828;245;89
Hartberg-Fürstenfeld;622;90606;6920;179;174
Südoststeiermark;623;84036;5701;167;154
Innsbruck-Stadt;701;131961;9102;94;248
Imst;702;60474;4722;37;199
Innsbruck-Land;703;180453;13003;136;366
Kitzbühel;704;64168;4319;42;69
Kufstein;705;110287;9119;136;166
Landeck;706;44386;3495;46;41
Lienz;707;48738;5115;45;180
Reutte;708;32838;1890;5;79
Schwaz;709;84329;8940;131;36
Bludenz;801;64107;3963;46;88
Bregenz;802;134987;8917;100;404
Dornbirn;803;89912;7110;71;249
Feldkirch;804;108133;7681;77;254
Wien;900;1911191;131565;2188;3105
