Altersgruppe;Anzahl_demografisch;Timestamp
<5;0;2020-12-20T16:02:00
5-14;0;2020-12-20T16:02:00
15-24;0;2020-12-20T16:02:00
25-34;0;2020-12-20T16:02:00
35-44;1;2020-12-20T16:02:00
45-54;4;2020-12-20T16:02:00
55-64;17;2020-12-20T16:02:00
65-74;78;2020-12-20T16:02:00
75-84;277;2020-12-20T16:02:00
>84;986;2020-12-20T16:02:00
