Bundesland;Anzahl;GKZ;Timestamp
Wien;347;9;2020-07-06T15:00:00
Vorarlberg;6;8;2020-07-06T15:00:00
Tirol;26;7;2020-07-06T15:00:00
Steiermark;59;6;2020-07-06T15:00:00
Salzburg;31;5;2020-07-06T15:00:00
Oberösterreich;414;4;2020-07-06T15:00:00
Niederösterreich;99;3;2020-07-06T15:00:00
Kärnten;16;2;2020-07-06T15:00:00
Burgenland;14;1;2020-07-06T15:00:00
