Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;924;11;15
Rust(Stadt);102;1980;73;0;0
Eisenstadt-Umgebung;103;43236;2258;24;48
Güssing;104;25699;1775;52;35
Jennersdorf;105;17097;1253;25;19
Mattersburg;106;40042;2175;31;41
Neusiedl am See;107;59990;3149;38;80
Oberpullendorf;108;37384;2181;40;28
Oberwart;109;54192;3523;87;67
Klagenfurt Stadt;201;101300;5923;154;145
Villach Stadt;202;62882;3538;66;109
Hermagor;203;18054;1851;28;3
Klagenfurt Land;204;60014;3942;65;140
Sankt Veit an der Glan;205;54186;3742;97;94
Spittal an der Drau;206;75868;5287;116;164
Villach Land;207;64618;4208;76;115
Völkermarkt;208;41862;3495;61;112
Wolfsberg;209;52607;3336;71;65
Feldkirchen;210;29902;2222;52;60
Krems an der Donau(Stadt);301;25036;1294;28;29
Sankt Pölten(Stadt);302;55514;3524;53;97
Waidhofen an der Ybbs(Stadt);303;11222;848;14;21
Wiener Neustadt(Stadt);304;45823;3734;82;54
Amstetten;305;116520;9504;126;255
Baden;306;146751;9426;120;204
Bruck an der Leitha;307;103735;5731;82;174
Gänserndorf;308;104782;5470;64;179
Gmünd;309;36553;2597;41;41
Hollabrunn;310;51033;2439;51;52
Horn;311;30936;1415;26;61
Korneuburg;312;91254;4114;49;61
Krems(Land);313;56487;3093;39;64
Lilienfeld;314;25655;1494;39;16
Melk;315;78191;5457;97;144
Mistelbach;316;75625;3559;34;62
Mödling;317;119115;6136;108;146
Neunkirchen;318;86343;5726;96;84
Sankt Pölten(Land);319;131729;7299;133;187
Scheibbs;320;41414;3606;38;87
Tulln;321;104593;5118;81;96
Waidhofen an der Thaya;322;25682;1648;14;20
Wiener Neustadt(Land);323;78307;5052;88;72
Zwettl;325;41987;3214;36;87
Linz(Stadt);401;206595;12569;214;456
Steyr(Stadt);402;38056;2242;18;64
Wels(Stadt);403;62470;5143;69;210
Braunau am Inn;404;105553;8485;102;286
Eferding;405;33178;2665;32;35
Freistadt;406;66861;5202;93;112
Gmunden;407;101859;7454;105;139
Grieskirchen;408;64875;4949;68;103
Kirchdorf an der Krems;409;57071;3950;81;51
Linz-Land;410;151371;9434;86;297
Perg;411;68968;5541;71;121
Ried im Innkreis;412;61690;5583;95;153
Rohrbach;413;56545;4981;96;42
Schärding;414;57391;5103;68;145
Steyr-Land;415;60717;4020;67;77
Urfahr-Umgebung;416;86005;5868;71;96
Vöcklabruck;417;137297;10705;152;353
Wels-Land;418;73777;5217;58;181
Salzburg(Stadt);501;155021;11085;133;289
Hallein;502;60824;6201;61;177
Salzburg-Umgebung;503;153492;11872;117;273
Sankt Johann im Pongau;504;81194;9211;112;153
Tamsweg;505;20251;2401;40;47
Zell am See;506;87628;7012;103;161
Graz(Stadt);601;291072;14787;284;599
Deutschlandsberg;603;60867;3642;100;163
Graz-Umgebung;606;156070;8007;239;278
Leibnitz;610;84756;5480;105;166
Leoben;611;59700;3186;109;77
Liezen;612;79652;5160;112;118
Murau;614;27543;1777;27;57
Voitsberg;616;51044;3076;103;115
Weiz;617;90654;5497;141;175
Murtal;620;71698;4454;161;125
Bruck-Mürzzuschlag;621;98697;5750;242;96
Hartberg-Fürstenfeld;622;90606;6773;178;169
Südoststeiermark;623;84036;5573;167;126
Innsbruck-Stadt;701;131961;8879;94;301
Imst;702;60474;4580;37;146
Innsbruck-Land;703;180453;12695;136;383
Kitzbühel;704;64168;4279;40;106
Kufstein;705;110287;8987;134;292
Landeck;706;44386;3452;46;50
Lienz;707;48738;4971;45;141
Reutte;708;32838;1827;5;116
Schwaz;709;84329;8915;130;78
Bludenz;801;64107;3894;46;87
Bregenz;802;134987;8589;99;337
Dornbirn;803;89912;6903;68;187
Feldkirch;804;108133;7467;75;201
Wien;900;1911191;129342;2138;3984
