Altersgruppe;Anzahl;Timestamp
<5;2712;2020-12-16T04:02:00
5-14;18072;2020-12-16T04:02:00
15-24;47044;2020-12-16T04:02:00
25-34;53847;2020-12-16T04:02:00
35-44;48779;2020-12-16T04:02:00
45-54;59101;2020-12-16T04:02:00
55-64;45060;2020-12-16T04:02:00
65-74;22159;2020-12-16T04:02:00
75-84;19043;2020-12-16T04:02:00
>84;12588;2020-12-16T04:02:00
