Bundesland;Anzahl;GKZ;Timestamp
Wien;1723;9;2020-09-01T17:38:45
Vorarlberg;73;8;2020-09-01T17:38:45
Tirol;369;7;2020-09-01T17:38:45
Steiermark;238;6;2020-09-01T17:38:45
Salzburg;167;5;2020-09-01T17:38:45
Oberösterreich;373;4;2020-09-01T17:38:45
Niederösterreich;319;3;2020-09-01T17:38:45
Kärnten;36;2;2020-09-01T17:38:45
Burgenland;45;1;2020-09-01T17:38:45
