Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;885;11;36
Rust(Stadt);102;1980;71;0;0
Eisenstadt-Umgebung;103;43236;2162;23;75
Güssing;104;25699;1703;48;32
Jennersdorf;105;17097;1202;23;28
Mattersburg;106;40042;2099;31;64
Neusiedl am See;107;59990;3009;37;114
Oberpullendorf;108;37384;2121;37;69
Oberwart;109;54192;3356;76;181
Klagenfurt Stadt;201;101300;5662;152;197
Villach Stadt;202;62882;3291;63;117
Hermagor;203;18054;1826;28;26
Klagenfurt Land;204;60014;3689;62;90
Sankt Veit an der Glan;205;54186;3523;96;93
Spittal an der Drau;206;75868;4896;111;257
Villach Land;207;64618;3969;74;120
Völkermarkt;208;41862;3293;58;94
Wolfsberg;209;52607;3191;70;121
Feldkirchen;210;29902;2093;45;87
Krems an der Donau(Stadt);301;25036;1236;27;30
Sankt Pölten(Stadt);302;55514;3324;52;120
Waidhofen an der Ybbs(Stadt);303;11222;803;13;35
Wiener Neustadt(Stadt);304;45823;3589;77;121
Amstetten;305;116520;8940;123;356
Baden;306;146751;9009;111;353
Bruck an der Leitha;307;103735;5348;73;218
Gänserndorf;308;104782;5143;57;218
Gmünd;309;36553;2472;39;105
Hollabrunn;310;51033;2323;50;89
Horn;311;30936;1297;12;51
Korneuburg;312;91254;3971;48;137
Krems(Land);313;56487;2947;38;69
Lilienfeld;314;25655;1438;36;62
Melk;315;78191;5101;91;255
Mistelbach;316;75625;3411;33;112
Mödling;317;119115;5835;107;251
Neunkirchen;318;86343;5444;92;201
Sankt Pölten(Land);319;131729;6905;123;264
Scheibbs;320;41414;3376;33;153
Tulln;321;104593;4904;80;176
Waidhofen an der Thaya;322;25682;1590;14;71
Wiener Neustadt(Land);323;78307;4796;70;191
Zwettl;325;41987;2985;33;102
Linz(Stadt);401;206595;11705;212;372
Steyr(Stadt);402;38056;2100;18;92
Wels(Stadt);403;62470;4744;66;148
Braunau am Inn;404;105553;7907;93;348
Eferding;405;33178;2569;31;52
Freistadt;406;66861;4961;90;102
Gmunden;407;101859;7124;99;249
Grieskirchen;408;64875;4767;68;70
Kirchdorf an der Krems;409;57071;3837;79;127
Linz-Land;410;151371;8859;84;262
Perg;411;68968;5280;67;133
Ried im Innkreis;412;61690;5231;95;187
Rohrbach;413;56545;4880;94;66
Schärding;414;57391;4794;67;131
Steyr-Land;415;60717;3845;65;98
Urfahr-Umgebung;416;86005;5664;70;101
Vöcklabruck;417;137297;9953;148;288
Wels-Land;418;73777;4884;58;162
Salzburg(Stadt);501;155021;10531;128;360
Hallein;502;60824;5935;60;118
Salzburg-Umgebung;503;153492;11320;110;363
Sankt Johann im Pongau;504;81194;8944;109;151
Tamsweg;505;20251;2318;40;40
Zell am See;506;87628;6635;102;161
Graz(Stadt);601;291072;13693;276;381
Deutschlandsberg;603;60867;3359;96;76
Graz-Umgebung;606;156070;7518;234;239
Leibnitz;610;84756;5145;97;163
Leoben;611;59700;3007;105;71
Liezen;612;79652;4874;108;137
Murau;614;27543;1655;24;61
Voitsberg;616;51044;2838;95;112
Weiz;617;90654;5149;138;155
Murtal;620;71698;4142;157;141
Bruck-Mürzzuschlag;621;98697;5527;237;115
Hartberg-Fürstenfeld;622;90606;6403;172;198
Südoststeiermark;623;84036;5290;164;143
Innsbruck-Stadt;701;131961;8289;91;276
Imst;702;60474;4331;35;91
Innsbruck-Land;703;180453;11967;134;397
Kitzbühel;704;64168;4110;41;94
Kufstein;705;110287;8436;132;201
Landeck;706;44386;3354;45;48
Lienz;707;48738;4604;43;216
Reutte;708;32838;1619;5;67
Schwaz;709;84329;8789;129;83
Bludenz;801;64107;3748;45;89
Bregenz;802;134987;7991;97;180
Dornbirn;803;89912;6582;67;160
Feldkirch;804;108133;7071;74;137
Wien;900;1911191;121740;1995;5769
