Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;490;8;45
Rust(Stadt);102;1980;51;0;1
Eisenstadt-Umgebung;103;43236;1208;16;46
Güssing;104;25699;915;14;37
Jennersdorf;105;17097;618;15;20
Mattersburg;106;40042;1151;19;32
Neusiedl am See;107;59990;1547;26;71
Oberpullendorf;108;37384;1316;16;19
Oberwart;109;54192;1855;50;51
Klagenfurt Stadt;201;101300;3764;109;228
Villach Stadt;202;62882;1994;36;102
Hermagor;203;18054;873;11;115
Klagenfurt Land;204;60014;2213;18;171
Sankt Veit an der Glan;205;54186;2279;70;85
Spittal an der Drau;206;75868;1907;28;148
Villach Land;207;64618;2213;52;120
Völkermarkt;208;41862;2220;40;98
Wolfsberg;209;52607;2235;51;80
Feldkirchen;210;29902;1210;27;84
Krems an der Donau(Stadt);301;25036;852;29;16
Sankt Pölten(Stadt);302;55514;2165;25;57
Waidhofen an der Ybbs(Stadt);303;11222;471;7;49
Wiener Neustadt(Stadt);304;45823;1549;31;41
Amstetten;305;116520;5989;92;358
Baden;306;146751;4235;53;234
Bruck an der Leitha;307;103735;2750;52;104
Gänserndorf;308;104782;2195;26;148
Gmünd;309;36553;1471;30;73
Hollabrunn;310;51033;1151;26;34
Horn;311;30936;606;10;21
Korneuburg;312;91254;2245;24;77
Krems(Land);313;56487;1903;25;36
Lilienfeld;314;25655;946;26;37
Melk;315;78191;3056;61;143
Mistelbach;316;75625;1483;27;43
Mödling;317;119115;3270;56;144
Neunkirchen;318;86343;2681;52;122
Sankt Pölten(Land);319;131729;4138;75;123
Scheibbs;320;41414;2006;23;73
Tulln;321;104593;2854;36;144
Waidhofen an der Thaya;322;25682;822;13;17
Wiener Neustadt(Land);323;78307;2100;29;126
Zwettl;325;41987;1665;14;98
Linz(Stadt);401;206595;8498;152;274
Steyr(Stadt);402;38056;1552;17;68
Wels(Stadt);403;62470;3055;47;98
Braunau am Inn;404;105553;4279;43;174
Eferding;405;33178;2008;24;35
Freistadt;406;66861;3521;67;134
Gmunden;407;101859;4422;57;287
Grieskirchen;408;64875;3674;51;111
Kirchdorf an der Krems;409;57071;2300;45;125
Linz-Land;410;151371;6267;70;158
Perg;411;68968;3488;38;117
Ried im Innkreis;412;61690;3574;70;115
Rohrbach;413;56545;3809;84;110
Schärding;414;57391;3521;53;140
Steyr-Land;415;60717;2977;53;107
Urfahr-Umgebung;416;86005;4596;62;103
Vöcklabruck;417;137297;6424;101;279
Wels-Land;418;73777;2981;39;117
Salzburg(Stadt);501;155021;6066;61;275
Hallein;502;60824;3610;28;246
Salzburg-Umgebung;503;153492;6893;66;345
Sankt Johann im Pongau;504;81194;5168;78;238
Tamsweg;505;20251;1391;28;57
Zell am See;506;87628;4259;62;290
Graz(Stadt);601;291072;8851;189;381
Deutschlandsberg;603;60867;1757;46;129
Graz-Umgebung;606;156070;4627;178;197
Leibnitz;610;84756;2960;66;137
Leoben;611;59700;2004;74;70
Liezen;612;79652;2855;66;184
Murau;614;27543;981;15;54
Voitsberg;616;51044;1887;69;54
Weiz;617;90654;2701;94;80
Murtal;620;71698;2645;107;140
Bruck-Mürzzuschlag;621;98697;3576;147;144
Hartberg-Fürstenfeld;622;90606;3597;122;174
Südoststeiermark;623;84036;2943;109;138
Innsbruck-Stadt;701;131961;6268;79;84
Imst;702;60474;2917;29;106
Innsbruck-Land;703;180453;8808;103;196
Kitzbühel;704;64168;2613;26;99
Kufstein;705;110287;6150;104;130
Landeck;706;44386;2484;30;107
Lienz;707;48738;2520;32;93
Reutte;708;32838;923;3;43
Schwaz;709;84329;6656;96;136
Bludenz;801;64107;2774;37;66
Bregenz;802;134987;6032;76;192
Dornbirn;803;89912;4903;39;176
Feldkirch;804;108133;5159;59;199
Wien;900;1911191;71115;1045;2217
