Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;5364;1.82;6132;2.08;294436;1
Kärnten;11982;2.13;13812;2.46;561293;2
Niederösterreich;26020;1.54;31810;1.89;1684287;3
Oberösterreich;33112;2.22;37640;2.53;1490279;4
Salzburg;10633;1.90;14154;2.53;558410;5
Steiermark;28145;2.26;33030;2.65;1246395;6
Tirol;15473;2.04;17112;2.26;757634;7
Vorarlberg;10657;2.68;10810;2.72;397139;8
Wien;44257;2.32;51547;2.70;1911191;9
Österreich;185643;2.09;216047;2.43;8901064;10
Stand;2021-01-25 18:00;2021-01-25 18:00;2021-01-25 18:00;2021-01-25 18:00;2020-01-01 00:00;
