Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;11846;4.02;12404;4.21;294436;1
Kärnten;26405;4.70;32985;5.88;561293;2
Niederösterreich;67682;4.02;80192;4.76;1684287;3
Oberösterreich;70810;4.75;92214;6.19;1490279;4
Salzburg;23305;4.17;28941;5.18;558410;5
Steiermark;65603;5.26;74561;5.98;1246395;6
Tirol;33248;4.39;41576;5.49;757634;7
Vorarlberg;21335;5.37;22691;5.71;397139;8
Wien;91801;4.80;111797;5.85;1911191;9
Österreich;412035;4.63;497361;5.59;8901064;10
Stand;2021-02-13 18:00;2021-02-13 18:00;2021-02-13 18:00;2021-02-13 18:00;2020-01-01 00:00;
