Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14637;54;0;7
Rust(Stadt);102;1940;3;0;0
Eisenstadt-Umgebung;103;42927;183;3;41
Güssing;104;25797;115;0;13
Jennersdorf;105;17066;31;0;12
Mattersburg;106;39925;176;1;11
Neusiedl am See;107;59552;383;5;79
Oberpullendorf;108;37513;131;1;28
Oberwart;109;54076;332;4;50
Klagenfurt Stadt;201;100817;366;3;93
Villach Stadt;202;62243;158;0;27
Hermagor;203;18224;66;0;7
Klagenfurt Land;204;59800;150;2;25
Sankt Veit an der Glan;205;54555;183;0;52
Spittal an der Drau;206;76091;111;1;17
Villach Land;207;64668;164;2;27
Völkermarkt;208;41878;175;4;26
Wolfsberg;209;52726;120;1;26
Feldkirchen;210;29937;51;0;7
Krems an der Donau(Stadt);301;24876;170;5;19
Sankt Pölten(Stadt);302;55044;417;8;63
Waidhofen an der Ybbs(Stadt);303;11261;44;3;7
Wiener Neustadt(Stadt);304;45277;347;0;58
Amstetten;305;116114;565;16;107
Baden;306;146203;920;7;112
Bruck an der Leitha;307;102010;688;5;155
Gänserndorf;308;103686;655;6;96
Gmünd;309;36773;189;1;39
Hollabrunn;310;50858;143;2;20
Horn;311;31090;138;5;9
Korneuburg;312;90889;639;6;102
Krems(Land);313;56596;409;8;44
Lilienfeld;314;25812;137;5;22
Melk;315;77962;455;5;53
Mistelbach;316;75483;439;7;37
Mödling;317;118998;867;11;130
Neunkirchen;318;86291;605;8;66
Sankt Pölten(Land);319;131044;794;11;118
Scheibbs;320;41403;192;2;17
Tulln;321;103771;589;6;128
Waidhofen an der Thaya;322;25888;200;2;32
Wiener Neustadt(Land);323;77991;368;9;39
Zwettl;325;42222;261;2;40
Linz(Stadt);401;205726;1810;22;207
Steyr(Stadt);402;38193;243;2;50
Wels(Stadt);403;61727;645;1;143
Braunau am Inn;404;104408;481;6;64
Eferding;405;33156;185;6;48
Freistadt;406;66621;412;6;73
Gmunden;407;101631;551;3;139
Grieskirchen;408;64721;392;1;148
Kirchdorf an der Krems;409;56866;194;2;35
Linz-Land;410;150273;1162;10;78
Perg;411;68459;508;4;26
Ried im Innkreis;412;61204;469;0;126
Rohrbach;413;56524;402;1;59
Schärding;414;57307;350;1;145
Steyr-Land;415;60427;386;7;67
Urfahr-Umgebung;416;85505;590;6;62
Vöcklabruck;417;136253;828;4;192
Wels-Land;418;73094;422;1;59
Salzburg(Stadt);501;154211;829;3;147
Hallein;502;60374;734;3;281
Salzburg-Umgebung;503;152281;972;12;337
Sankt Johann im Pongau;504;80573;913;18;206
Tamsweg;505;20320;86;1;30
Zell am See;506;87462;608;9;111
Graz(Stadt);601;288806;1708;55;281
Deutschlandsberg;603;60821;147;2;26
Graz-Umgebung;606;154260;639;37;101
Leibnitz;610;82484;361;9;61
Leoben;611;60060;221;3;52
Liezen;612;79901;289;2;51
Murau;614;27659;45;0;5
Voitsberg;616;51161;255;6;51
Weiz;617;90343;403;18;66
Murtal;620;72004;227;2;73
Bruck-Mürzzuschlag;621;98984;269;12;34
Hartberg-Fürstenfeld;622;90622;497;42;68
Südoststeiermark;623;85947;157;2;46
Innsbruck-Stadt;701;132110;1965;9;336
Imst;702;60056;636;6;119
Innsbruck-Land;703;179318;1652;14;343
Kitzbühel;704;63881;523;11;35
Kufstein;705;109682;1145;35;86
Landeck;706;44362;1323;16;93
Lienz;707;48753;236;6;48
Reutte;708;32670;157;1;26
Schwaz;709;83873;1075;15;216
Bludenz;801;63714;593;6;82
Bregenz;802;134383;970;12;223
Dornbirn;803;89041;720;6;154
Feldkirch;804;107159;885;4;208
Wien;900;1897491;23961;300;2933
