Datum;BundeslandID;Name;Bevölkerung;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;EingetrageneImpfungen;EingetrageneImpfungenPro100;Teilgeimpfte;TeilgeimpftePro100;Vollimmunisierte;VollimmunisiertePro100
2021-01-18T18:00:00+01:00;1;Burgenland;294436;4125;1.40;5370;1.82;2098;0.71;2096;0.71;2;0.00
2021-01-18T18:00:00+01:00;2;Kärnten;561293;9510;1.69;9510;1.69;8279;1.47;8269;1.47;10;0.00
2021-01-18T18:00:00+01:00;3;Niederösterreich;1684287;20713;1.23;27214;1.62;8624;0.51;8614;0.51;10;0.00
2021-01-18T18:00:00+01:00;4;Oberösterreich;1490279;19781;1.33;36954;2.48;9500;0.64;9490;0.64;10;0.00
2021-01-18T18:00:00+01:00;5;Salzburg;558410;8635;1.55;10915;1.95;2094;0.37;2093;0.37;1;0.00
2021-01-18T18:00:00+01:00;6;Steiermark;1246395;22675;1.82;29635;2.38;3246;0.26;3246;0.26;0;0.00
2021-01-18T18:00:00+01:00;7;Tirol;757634;12838;1.69;14153;1.87;2847;0.38;2845;0.38;2;0.00
2021-01-18T18:00:00+01:00;8;Vorarlberg;397139;9765;2.46;10438;2.63;8226;2.07;7960;2.00;266;0.07
2021-01-18T18:00:00+01:00;9;Wien;1911191;32190;1.68;40207;2.10;16098;0.84;16095;0.84;3;0.00
2021-01-18T18:00:00+01:00;10;Österreich;8901064;140232;1.58;184396;2.07;61012;0.69;60708;0.68;304;0.00
2021-01-19T18:00:00+01:00;1;Burgenland;294436;4410;1.50;5898;2.00;2708;0.92;2702;0.92;6;0.00
2021-01-19T18:00:00+01:00;2;Kärnten;561293;9510;1.69;9510;1.69;8325;1.48;8315;1.48;10;0.00
2021-01-19T18:00:00+01:00;3;Niederösterreich;1684287;23665;1.41;27262;1.62;10779;0.64;10519;0.62;260;0.02
2021-01-19T18:00:00+01:00;4;Oberösterreich;1490279;20269;1.36;35622;2.39;10288;0.69;10277;0.69;11;0.00
2021-01-19T18:00:00+01:00;5;Salzburg;558410;9445;1.69;10915;1.95;2621;0.47;2535;0.45;86;0.02
