Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;851;9;96
Rust(Stadt);102;1980;70;0;0
Eisenstadt-Umgebung;103;43236;1970;23;133
Güssing;104;25699;1586;45;68
Jennersdorf;105;17097;1123;22;33
Mattersburg;106;40042;1914;27;130
Neusiedl am See;107;59990;2730;32;100
Oberpullendorf;108;37384;1932;30;90
Oberwart;109;54192;2867;70;186
Klagenfurt Stadt;201;101300;5267;151;139
Villach Stadt;202;62882;3013;62;132
Hermagor;203;18054;1757;27;19
Klagenfurt Land;204;60014;3475;61;122
Sankt Veit an der Glan;205;54186;3323;94;87
Spittal an der Drau;206;75868;4399;106;292
Villach Land;207;64618;3684;71;173
Völkermarkt;208;41862;3100;56;81
Wolfsberg;209;52607;2929;68;63
Feldkirchen;210;29902;1903;43;88
Krems an der Donau(Stadt);301;25036;1146;26;62
Sankt Pölten(Stadt);302;55514;3020;50;112
Waidhofen an der Ybbs(Stadt);303;11222;717;13;25
Wiener Neustadt(Stadt);304;45823;3316;62;216
Amstetten;305;116520;8074;122;311
Baden;306;146751;8044;100;559
Bruck an der Leitha;307;103735;4794;72;306
Gänserndorf;308;104782;4615;56;281
Gmünd;309;36553;2240;37;104
Hollabrunn;310;51033;2097;49;143
Horn;311;30936;1146;12;78
Korneuburg;312;91254;3574;43;217
Krems(Land);313;56487;2767;35;106
Lilienfeld;314;25655;1287;32;55
Melk;315;78191;4385;86;206
Mistelbach;316;75625;3094;33;173
Mödling;317;119115;5200;102;326
Neunkirchen;318;86343;4922;86;439
Sankt Pölten(Land);319;131729;6213;111;344
Scheibbs;320;41414;2990;32;160
Tulln;321;104593;4467;78;183
Waidhofen an der Thaya;322;25682;1438;14;72
Wiener Neustadt(Land);323;78307;4270;67;335
Zwettl;325;41987;2752;31;108
Linz(Stadt);401;206595;10928;209;310
Steyr(Stadt);402;38056;1899;18;56
Wels(Stadt);403;62470;4381;64;161
Braunau am Inn;404;105553;6983;76;316
Eferding;405;33178;2451;30;74
Freistadt;406;66861;4642;89;216
Gmunden;407;101859;6517;96;187
Grieskirchen;408;64875;4575;68;97
Kirchdorf an der Krems;409;57071;3495;75;209
Linz-Land;410;151371;8179;81;273
Perg;411;68968;4946;65;161
Ried im Innkreis;412;61690;4861;91;156
Rohrbach;413;56545;4751;93;76
Schärding;414;57391;4540;65;66
Steyr-Land;415;60717;3646;64;86
Urfahr-Umgebung;416;86005;5446;69;94
Vöcklabruck;417;137297;9053;144;422
Wels-Land;418;73777;4475;53;208
Salzburg(Stadt);501;155021;9745;124;416
Hallein;502;60824;5676;58;209
Salzburg-Umgebung;503;153492;10424;106;405
Sankt Johann im Pongau;504;81194;8578;105;342
Tamsweg;505;20251;2229;39;60
Zell am See;506;87628;6189;100;237
Graz(Stadt);601;291072;12796;268;474
Deutschlandsberg;603;60867;3099;91;150
Graz-Umgebung;606;156070;6944;227;280
Leibnitz;610;84756;4767;96;258
Leoben;611;59700;2828;98;130
Liezen;612;79652;4534;101;180
Murau;614;27543;1471;22;46
Voitsberg;616;51044;2606;91;162
Weiz;617;90654;4702;136;220
Murtal;620;71698;3843;152;141
Bruck-Mürzzuschlag;621;98697;5240;229;156
Hartberg-Fürstenfeld;622;90606;5901;169;289
Südoststeiermark;623;84036;4897;161;174
Innsbruck-Stadt;701;131961;7594;88;221
Imst;702;60474;4063;34;167
Innsbruck-Land;703;180453;10969;132;345
Kitzbühel;704;64168;3846;38;110
Kufstein;705;110287;7865;129;240
Landeck;706;44386;3173;44;60
Lienz;707;48738;4157;42;143
Reutte;708;32838;1469;4;48
Schwaz;709;84329;8470;126;197
Bludenz;801;64107;3596;45;39
Bregenz;802;134987;7576;97;142
Dornbirn;803;89912;6252;66;45
Feldkirch;804;108133;6757;72;97
Wien;900;1911191;107758;1845;5703
