Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;567;10;9
Rust(Stadt);102;1980;67;0;2
Eisenstadt-Umgebung;103;43236;1386;19;30
Güssing;104;25699;1169;33;51
Jennersdorf;105;17097;751;18;48
Mattersburg;106;40042;1377;23;28
Neusiedl am See;107;59990;1944;28;56
Oberpullendorf;108;37384;1510;23;25
Oberwart;109;54192;2054;53;48
Klagenfurt Stadt;201;101300;4272;137;73
Villach Stadt;202;62882;2317;56;60
Hermagor;203;18054;1182;17;47
Klagenfurt Land;204;60014;2758;53;95
Sankt Veit an der Glan;205;54186;2779;91;47
Spittal an der Drau;206;75868;3038;68;220
Villach Land;207;64618;2777;65;94
Völkermarkt;208;41862;2557;50;39
Wolfsberg;209;52607;2555;64;36
Feldkirchen;210;29902;1559;38;50
Krems an der Donau(Stadt);301;25036;945;23;10
Sankt Pölten(Stadt);302;55514;2404;43;38
Waidhofen an der Ybbs(Stadt);303;11222;616;10;13
Wiener Neustadt(Stadt);304;45823;1930;54;69
Amstetten;305;116520;7047;114;144
Baden;306;146751;5339;83;177
Bruck an der Leitha;307;103735;3261;64;79
Gänserndorf;308;104782;2934;36;170
Gmünd;309;36553;1684;34;35
Hollabrunn;310;51033;1308;27;35
Horn;311;30936;729;10;50
Korneuburg;312;91254;2590;38;70
Krems(Land);313;56487;2231;29;94
Lilienfeld;314;25655;1041;30;16
Melk;315;78191;3520;79;63
Mistelbach;316;75625;1826;30;57
Mödling;317;119115;3790;89;88
Neunkirchen;318;86343;3310;73;71
Sankt Pölten(Land);319;131729;4720;89;88
Scheibbs;320;41414;2395;31;63
Tulln;321;104593;3525;51;106
Waidhofen an der Thaya;322;25682;954;13;17
Wiener Neustadt(Land);323;78307;2636;51;93
Zwettl;325;41987;2158;22;85
Linz(Stadt);401;206595;9356;196;100
Steyr(Stadt);402;38056;1673;18;10
Wels(Stadt);403;62470;3429;57;66
Braunau am Inn;404;105553;5095;62;142
Eferding;405;33178;2170;27;40
Freistadt;406;66861;3976;80;53
Gmunden;407;101859;5409;87;150
Grieskirchen;408;64875;4132;66;72
Kirchdorf an der Krems;409;57071;2772;71;53
Linz-Land;410;151371;6957;78;98
Perg;411;68968;3958;55;86
Ried im Innkreis;412;61690;4076;86;80
Rohrbach;413;56545;4189;90;36
Schärding;414;57391;3975;60;63
Steyr-Land;415;60717;3261;60;32
Urfahr-Umgebung;416;86005;4859;68;54
Vöcklabruck;417;137297;7433;129;155
Wels-Land;418;73777;3414;47;56
Salzburg(Stadt);501;155021;7751;98;282
Hallein;502;60824;4683;40;130
Salzburg-Umgebung;503;153492;8401;90;218
Sankt Johann im Pongau;504;81194;6411;85;205
Tamsweg;505;20251;1904;32;95
Zell am See;506;87628;5189;90;82
Graz(Stadt);601;291072;10067;231;226
Deutschlandsberg;603;60867;2300;78;97
Graz-Umgebung;606;156070;5411;210;128
Leibnitz;610;84756;3517;78;94
Leoben;611;59700;2253;86;33
Liezen;612;79652;3718;91;112
Murau;614;27543;1199;18;25
Voitsberg;616;51044;2148;85;38
Weiz;617;90654;3159;110;112
Murtal;620;71698;3244;135;76
Bruck-Mürzzuschlag;621;98697;4109;194;95
Hartberg-Fürstenfeld;622;90606;4171;153;110
Südoststeiermark;623;84036;3667;126;215
Innsbruck-Stadt;701;131961;6765;83;77
Imst;702;60474;3270;32;28
Innsbruck-Land;703;180453;9718;120;117
Kitzbühel;704;64168;3250;37;73
Kufstein;705;110287;6834;121;111
Landeck;706;44386;2844;40;23
Lienz;707;48738;3089;39;175
Reutte;708;32838;1182;4;37
Schwaz;709;84329;7375;110;190
Bludenz;801;64107;3203;39;66
Bregenz;802;134987;6953;91;148
Dornbirn;803;89912;5698;53;122
Feldkirch;804;108133;6007;68;82
Wien;900;1911191;80896;1468;1791
