Altersgruppe;Anzahl_demografisch;Timestamp
<5;0;2020-11-13T10:02:00
5-14;0;2020-11-13T10:02:00
15-24;0;2020-11-13T10:02:00
25-34;0;2020-11-13T10:02:00
35-44;0;2020-11-13T10:02:00
45-54;1;2020-11-13T10:02:00
55-64;4;2020-11-13T10:02:00
65-74;25;2020-11-13T10:02:00
75-84;88;2020-11-13T10:02:00
>84;287;2020-11-13T10:02:00
