Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;9870;3.35;10776;3.66;294436;1
Kärnten;23453;4.18;27017;4.81;561293;2
Niederösterreich;56542;3.36;67994;4.04;1684287;3
Oberösterreich;54316;3.64;83560;5.61;1490279;4
Salzburg;20965;3.75;23173;4.15;558410;5
Steiermark;53501;4.29;70931;5.69;1246395;6
Tirol;31684;4.18;35156;4.64;757634;7
Vorarlberg;18317;4.61;22151;5.58;397139;8
Wien;78023;4.08;101577;5.31;1911191;9
Österreich;346671;3.89;442335;4.97;8901064;10
Stand;2021-02-09 18:00;2021-02-09 18:00;2021-02-09 18:00;2021-02-09 18:00;2020-01-01 00:00;
