Bundesland;Anzahl;GKZ;Timestamp
Wien;3511;9;2021-01-08T05:02:00
Vorarlberg;1242;8;2021-01-08T05:02:00
Tirol;1842;7;2021-01-08T05:02:00
Steiermark;3160;6;2021-01-08T05:02:00
Salzburg;2557;5;2021-01-08T05:02:00
Oberösterreich;2700;4;2021-01-08T05:02:00
Niederösterreich;2958;3;2021-01-08T05:02:00
Kärnten;1210;2;2021-01-08T05:02:00
Burgenland;637;1;2021-01-08T05:02:00
