Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;4125;1.40;5898;2.00;294436;1
Kärnten;9510;1.69;9510;1.69;561293;2
Niederösterreich;20713;1.23;27262;1.62;1684287;3
Oberösterreich;19781;1.33;35622;2.39;1490279;4
Salzburg;8635;1.55;10915;1.95;558410;5
Steiermark;22675;1.82;29683;2.38;1246395;6
Tirol;12838;1.69;14153;1.87;757634;7
Vorarlberg;9765;2.46;10438;2.63;397139;8
Wien;32190;1.68;41893;2.19;1911191;9
Österreich;140232;1.58;185374;2.08;8901064;10
Stand;2021-01-19 18:00:00;2021-01-19 18:00:00;2021-01-19 18:00:00;2021-01-19 18:00:00;2020-01-01 00:00:00;
