time;Belegung Normalbetten in %;Timestamp
01.04.2020;5;2020-06-21T10:15:25
02.04.2020;5;2020-06-21T10:15:25
03.04.2020;5;2020-06-21T10:15:25
04.04.2020;5;2020-06-21T10:15:25
05.04.2020;4;2020-06-21T10:15:25
06.04.2020;5;2020-06-21T10:15:25
07.04.2020;4;2020-06-21T10:15:25
08.04.2020;4;2020-06-21T10:15:25
09.04.2020;4;2020-06-21T10:15:25
10.04.2020;4;2020-06-21T10:15:25
11.04.2020;4;2020-06-21T10:15:25
12.04.2020;4;2020-06-21T10:15:25
13.04.2020;4;2020-06-21T10:15:25
14.04.2020;4;2020-06-21T10:15:25
15.04.2020;4;2020-06-21T10:15:25
16.04.2020;4;2020-06-21T10:15:25
17.04.2020;4;2020-06-21T10:15:25
18.04.2020;3;2020-06-21T10:15:25
19.04.2020;3;2020-06-21T10:15:25
20.04.2020;3;2020-06-21T10:15:25
21.04.2020;3;2020-06-21T10:15:25
22.04.2020;3;2020-06-21T10:15:25
23.04.2020;3;2020-06-21T10:15:25
24.04.2020;3;2020-06-21T10:15:25
25.04.2020;3;2020-06-21T10:15:25
26.04.2020;3;2020-06-21T10:15:25
27.04.2020;3;2020-06-21T10:15:25
28.04.2020;3;2020-06-21T10:15:25
29.04.2020;2;2020-06-21T10:15:25
30.04.2020;2;2020-06-21T10:15:25
01.05.2020;2;2020-06-21T10:15:25
02.05.2020;2;2020-06-21T10:15:25
03.05.2020;2;2020-06-21T10:15:25
04.05.2020;2;2020-06-21T10:15:25
05.05.2020;2;2020-06-21T10:15:25
06.05.2020;2;2020-06-21T10:15:25
07.05.2020;2;2020-06-21T10:15:25
08.05.2020;2;2020-06-21T10:15:25
09.05.2020;2;2020-06-21T10:15:25
10.05.2020;1;2020-06-21T10:15:25
11.05.2020;1;2020-06-21T10:15:25
12.05.2020;1;2020-06-21T10:15:25
13.05.2020;1;2020-06-21T10:15:25
14.05.2020;1;2020-06-21T10:15:25
15.05.2020;1;2020-06-21T10:15:25
16.05.2020;1;2020-06-21T10:15:25
17.05.2020;1;2020-06-21T10:15:25
18.05.2020;1;2020-06-21T10:15:25
19.05.2020;1;2020-06-21T10:15:25
20.05.2020;1;2020-06-21T10:15:25
21.05.2020;1;2020-06-21T10:15:25
22.05.2020;1;2020-06-21T10:15:25
23.05.2020;1;2020-06-21T10:15:25
24.05.2020;1;2020-06-21T10:15:25
25.05.2020;1;2020-06-21T10:15:25
26.05.2020;1;2020-06-21T10:15:25
27.05.2020;1;2020-06-21T10:15:25
28.05.2020;1;2020-06-21T10:15:25
29.05.2020;1;2020-06-21T10:15:25
30.05.2020;1;2020-06-21T10:15:25
31.05.2020;1;2020-06-21T10:15:25
01.06.2020;1;2020-06-21T10:15:25
02.06.2020;0;2020-06-21T10:15:25
03.06.2020;1;2020-06-21T10:15:25
04.06.2020;1;2020-06-21T10:15:25
05.06.2020;1;2020-06-21T10:15:25
06.06.2020;1;2020-06-21T10:15:25
07.06.2020;1;2020-06-21T10:15:25
08.06.2020;1;2020-06-21T10:15:25
09.06.2020;1;2020-06-21T10:15:25
10.06.2020;1;2020-06-21T10:15:25
11.06.2020;1;2020-06-21T10:15:25
12.06.2020;1;2020-06-21T10:15:25
13.06.2020;1;2020-06-21T10:15:25
14.06.2020;1;2020-06-21T10:15:25
15.06.2020;1;2020-06-21T10:15:25
16.06.2020;1;2020-06-21T10:15:25
17.06.2020;1;2020-06-21T10:15:25
18.06.2020;1;2020-06-21T10:15:25
19.06.2020;1;2020-06-21T10:15:25
20.06.2020;1;2020-06-21T10:15:25
21.06.2020;1;2020-06-21T10:15:25
