Bundesland;Anzahl;GKZ;Timestamp
Wien;394;9;2020-07-14T09:00:00
Vorarlberg;5;8;2020-07-14T09:00:00
Tirol;47;7;2020-07-14T09:00:00
Steiermark;76;6;2020-07-14T09:00:00
Salzburg;48;5;2020-07-14T09:00:00
Oberösterreich;543;4;2020-07-14T09:00:00
Niederösterreich;89;3;2020-07-14T09:00:00
Kärnten;18;2;2020-07-14T09:00:00
Burgenland;20;1;2020-07-14T09:00:00
