Bundesland;Anzahl;GKZ;Timestamp
Wien;563;9;2020-05-05T13:00:00
Vorarlberg;39;8;2020-05-05T13:00:00
Tirol;163;7;2020-05-05T13:00:00
Steiermark;340;6;2020-05-05T13:00:00
Salzburg;80;5;2020-05-05T13:00:00
Oberösterreich;87;4;2020-05-05T13:00:00
Niederösterreich;234;3;2020-05-05T13:00:00
Kärnten;14;2;2020-05-05T13:00:00
Burgenland;62;1;2020-05-05T13:00:00
