time;Belegung Intensivbetten in %;Timestamp
23.08.2020;3;2020-09-13T12:48:39
24.08.2020;3;2020-09-13T12:48:39
25.08.2020;3;2020-09-13T12:48:39
26.08.2020;3;2020-09-13T12:48:39
27.08.2020;3;2020-09-13T12:48:39
28.08.2020;4;2020-09-13T12:48:39
29.08.2020;4;2020-09-13T12:48:39
30.08.2020;4;2020-09-13T12:48:39
31.08.2020;4;2020-09-13T12:48:39
01.09.2020;4;2020-09-13T12:48:39
02.09.2020;4;2020-09-13T12:48:39
03.09.2020;4;2020-09-13T12:48:39
04.09.2020;4;2020-09-13T12:48:39
05.09.2020;4;2020-09-13T12:48:39
06.09.2020;4;2020-09-13T12:48:39
07.09.2020;4;2020-09-13T12:48:39
08.09.2020;4;2020-09-13T12:48:39
09.09.2020;5;2020-09-13T12:48:39
10.09.2020;5;2020-09-13T12:48:39
11.09.2020;6;2020-09-13T12:48:39
12.09.2020;6;2020-09-13T12:48:39
13.09.2020;6;2020-09-13T12:48:39
