Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;314;270,423893759581;305;2020-07-25T10:00:00
Baden;216;147,73978646129;306;2020-07-25T10:00:00
Bludenz;270;423,768716451643;801;2020-07-25T10:00:00
Braunau am Inn;162;155,16052409777;404;2020-07-25T10:00:00
Bregenz;283;210,592113585796;802;2020-07-25T10:00:00
Bruck an der Leitha;131;128,418782472307;307;2020-07-25T10:00:00
Bruck-Mürzzuschlag;64;64,6569142487675;621;2020-07-25T10:00:00
Deutschlandsberg;54;88,7851235592969;603;2020-07-25T10:00:00
Dornbirn;161;180,815579339855;803;2020-07-25T10:00:00
Eferding;80;241,283628905779;405;2020-07-25T10:00:00
Eisenstadt(Stadt);19;129,808020769283;101;2020-07-25T10:00:00
Eisenstadt-Umgebung;28;65,2270133016516;103;2020-07-25T10:00:00
Feldkirch;226;210,90155749867;804;2020-07-25T10:00:00
Feldkirchen;15;50,1052209640244;210;2020-07-25T10:00:00
Freistadt;140;210,143948604794;406;2020-07-25T10:00:00
Gänserndorf;130;125,378546766198;308;2020-07-25T10:00:00
Gmünd;16;43,5101841024665;309;2020-07-25T10:00:00
Gmunden;102;100,363078194645;407;2020-07-25T10:00:00
Graz(Stadt);570;197,364320685858;601;2020-07-25T10:00:00
Graz-Umgebung;259;167,898353429275;606;2020-07-25T10:00:00
Grieskirchen;90;139,05841998733;408;2020-07-25T10:00:00
Güssing;26;100,786913206962;104;2020-07-25T10:00:00
Hallein;80;132,507370722496;502;2020-07-25T10:00:00
Hartberg-Fürstenfeld;321;354,218622409569;622;2020-07-25T10:00:00
Hermagor;5;27,4363476733977;203;2020-07-25T10:00:00
Hollabrunn;48;94,3804317904754;310;2020-07-25T10:00:00
Horn;97;311,997426825346;311;2020-07-25T10:00:00
Imst;297;494,538430797922;702;2020-07-25T10:00:00
Innsbruck-Land;409;228,086416310688;703;2020-07-25T10:00:00
Innsbruck-Stadt;442;334,569676784498;701;2020-07-25T10:00:00
Jennersdorf;10;58,5960389077698;105;2020-07-25T10:00:00
Kirchdorf an der Krems;65;114,303801920304;409;2020-07-25T10:00:00
Kitzbühel;375;587,029007060002;704;2020-07-25T10:00:00
Klagenfurt Land;51;85,2842809364548;204;2020-07-25T10:00:00
Klagenfurt Stadt;102;101,173413214041;201;2020-07-25T10:00:00
Korneuburg;193;212,346928671236;312;2020-07-25T10:00:00
Krems an der Donau(Stadt);45;180,897250361795;301;2020-07-25T10:00:00
Krems(Land);173;305,67531274295;313;2020-07-25T10:00:00
Kufstein;532;485,03856603636;705;2020-07-25T10:00:00
Landeck;1007;2269,96077724178;706;2020-07-25T10:00:00
Leibnitz;193;233,984772804423;610;2020-07-25T10:00:00
Leoben;38;63,2700632700633;611;2020-07-25T10:00:00
Lienz;156;319,980308904067;707;2020-07-25T10:00:00
Liezen (inkl. Gröbming);109;136,418818287631;612;2020-07-25T10:00:00
Lilienfeld;53;205,330853866419;314;2020-07-25T10:00:00
Linz(Stadt);658;319,842897834984;401;2020-07-25T10:00:00
Linz-Land;488;324,742302343069;410;2020-07-25T10:00:00
Mattersburg;78;195,36631183469;106;2020-07-25T10:00:00
Melk;186;238,577768656525;315;2020-07-25T10:00:00
Mistelbach;146;193,421035199979;316;2020-07-25T10:00:00
Mödling;225;189,078808047194;317;2020-07-25T10:00:00
Murau;9;32,5391373513142;614;2020-07-25T10:00:00
Murtal;52;72,2182100994389;620;2020-07-25T10:00:00
Neunkirchen;234;271,175441239527;318;2020-07-25T10:00:00
Neusiedl am See;64;107,469102632993;107;2020-07-25T10:00:00
Oberpullendorf;26;69,3093061072162;108;2020-07-25T10:00:00
Oberwart;145;268,141134699312;109;2020-07-25T10:00:00
Perg;343;501,029813464994;411;2020-07-25T10:00:00
Reutte;63;192,837465564738;708;2020-07-25T10:00:00
Ried im Innkreis;76;124,174890530031;412;2020-07-25T10:00:00
Rohrbach;167;295,44972047272;413;2020-07-25T10:00:00
Salzburg(Stadt);190;123,207812672248;501;2020-07-25T10:00:00
Salzburg-Umgebung;237;155,633335741163;503;2020-07-25T10:00:00
Sankt Johann im Pongau;453;562,223077209487;504;2020-07-25T10:00:00
Sankt Pölten(Land);286;218,247306248283;319;2020-07-25T10:00:00
Sankt Pölten(Stadt);109;198,023399462248;302;2020-07-25T10:00:00
Sankt Veit an der Glan;54;98,9826780313445;205;2020-07-25T10:00:00
Schärding;66;115,169176540388;414;2020-07-25T10:00:00
Scheibbs;104;251,189527328938;320;2020-07-25T10:00:00
Schwaz;358;426,835811286111;709;2020-07-25T10:00:00
Spittal an der Drau;45;59,1397142894692;206;2020-07-25T10:00:00
Steyr(Stadt);75;196,371062760192;402;2020-07-25T10:00:00
Steyr-Land;199;329,322984758469;415;2020-07-25T10:00:00
Südoststeiermark;68;79,1185265337941;623;2020-07-25T10:00:00
Tamsweg;26;127,952755905512;505;2020-07-25T10:00:00
Tulln;192;185,022790567692;321;2020-07-25T10:00:00
Urfahr-Umgebung;332;388,281387053389;416;2020-07-25T10:00:00
Villach Land;51;78,8643533123028;207;2020-07-25T10:00:00
Villach Stadt;24;38,5585527689861;202;2020-07-25T10:00:00
Vöcklabruck;169;124,033966224597;417;2020-07-25T10:00:00
Voitsberg;106;207,189069799261;616;2020-07-25T10:00:00
Völkermarkt;55;131,333874588089;208;2020-07-25T10:00:00
Waidhofen an der Thaya;75;289,709517923362;322;2020-07-25T10:00:00
Waidhofen an der Ybbs(Stadt);26;230,885356540272;303;2020-07-25T10:00:00
Weiz;205;226,912987171115;617;2020-07-25T10:00:00
Wels(Stadt);139;225,185089183016;403;2020-07-25T10:00:00
Wels-Land;126;172,380769967439;418;2020-07-25T10:00:00
Wien(Stadt);4743;249,961659897201;900;2020-07-25T10:00:00
Wiener Neustadt(Land);107;137,195317408419;323;2020-07-25T10:00:00
Wiener Neustadt(Stadt);88;194,359166905935;304;2020-07-25T10:00:00
Wolfsberg;50;94,8298752038842;209;2020-07-25T10:00:00
Zell am See;370;423,040863460703;506;2020-07-25T10:00:00
Zwettl;74;175,264080337265;325;2020-07-25T10:00:00
