Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;7683;131;1;2020-12-15T11:02:00
Kärnten;16385;278;2;2020-12-15T11:02:00
Niederösterreich;42517;659;3;2020-12-15T11:02:00
Oberösterreich;60639;820;4;2020-12-15T11:02:00
Salzburg;21617;272;5;2020-12-15T11:02:00
Steiermark;28077;643;6;2020-12-15T11:02:00
Tirol;35109;412;7;2020-12-15T11:02:00
Vorarlberg;15945;180;8;2020-12-15T11:02:00
Wien;59778;874;9;2020-12-15T11:02:00
