Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;156;0;90
Rust(Stadt);102;1980;9;0;5
Eisenstadt-Umgebung;103;43236;401;4;157
Güssing;104;25699;217;0;80
Jennersdorf;105;17097;115;0;68
Mattersburg;106;40042;339;1;98
Neusiedl am See;107;59990;560;9;133
Oberpullendorf;108;37384;338;2;130
Oberwart;109;54192;697;11;273
Klagenfurt Stadt;201;101300;760;8;292
Villach Stadt;202;62882;338;0;112
Hermagor;203;18054;145;0;56
Klagenfurt Land;204;60014;314;2;120
Sankt Veit an der Glan;205;54186;336;0;114
Spittal an der Drau;206;75868;220;1;75
Villach Land;207;64618;298;3;95
Völkermarkt;208;41862;311;3;89
Wolfsberg;209;52607;277;2;116
Feldkirchen;210;29902;156;1;81
Krems an der Donau(Stadt);301;25036;279;6;68
Sankt Pölten(Stadt);302;55514;659;8;167
Waidhofen an der Ybbs(Stadt);303;11222;89;3;29
Wiener Neustadt(Stadt);304;45823;667;0;209
Amstetten;305;116520;1193;19;412
Baden;306;146751;1520;8;382
Bruck an der Leitha;307;103735;1060;5;237
Gänserndorf;308;104782;894;7;149
Gmünd;309;36553;432;3;173
Hollabrunn;310;51033;325;2;136
Horn;311;30936;204;5;51
Korneuburg;312;91254;1025;7;258
Krems(Land);313;56487;681;9;179
Lilienfeld;314;25655;310;6;103
Melk;315;78191;695;6;166
Mistelbach;316;75625;565;12;79
Mödling;317;119115;1364;13;322
Neunkirchen;318;86343;916;10;229
Sankt Pölten(Land);319;131729;1317;14;344
Scheibbs;320;41414;369;2;144
Tulln;321;104593;1115;7;317
Waidhofen an der Thaya;322;25682;352;2;97
Wiener Neustadt(Land);323;78307;677;10;189
Zwettl;325;41987;459;3;133
Linz(Stadt);401;206595;2864;31;626
Steyr(Stadt);402;38056;485;2;170
Wels(Stadt);403;62470;1095;5;301
Braunau am Inn;404;105553;887;8;291
Eferding;405;33178;582;6;282
Freistadt;406;66861;917;12;335
Gmunden;407;101859;1297;3;526
Grieskirchen;408;64875;1058;1;436
Kirchdorf an der Krems;409;57071;427;3;179
Linz-Land;410;151371;1919;11;478
Perg;411;68968;902;5;275
Ried im Innkreis;412;61690;1021;3;346
Rohrbach;413;56545;1017;2;425
Schärding;414;57391;866;2;354
Steyr-Land;415;60717;781;11;291
Urfahr-Umgebung;416;86005;1133;7;383
Vöcklabruck;417;137297;1656;7;522
Wels-Land;418;73777;815;1;267
Salzburg(Stadt);501;155021;1602;4;490
Hallein;502;60824;1222;5;284
Salzburg-Umgebung;503;153492;1990;15;662
Sankt Johann im Pongau;504;81194;1687;17;478
Tamsweg;505;20251;203;2;76
Zell am See;506;87628;980;9;204
Graz(Stadt);601;291072;2838;50;761
Deutschlandsberg;603;60867;359;3;135
Graz-Umgebung;606;156070;1219;48;351
Leibnitz;610;84756;811;14;308
Leoben;611;59700;504;5;183
Liezen;612;79652;719;2;269
Murau;614;27543;103;0;52
Voitsberg;616;51044;489;9;140
Weiz;617;90654;780;20;285
Murtal;620;71698;471;3;172
Bruck-Mürzzuschlag;621;98697;675;22;272
Hartberg-Fürstenfeld;622;90606;913;50;301
Südoststeiermark;623;84036;642;4;375
Innsbruck-Stadt;701;131961;3019;14;590
Imst;702;60474;976;6;216
Innsbruck-Land;703;180453;2865;15;753
Kitzbühel;704;64168;843;11;234
Kufstein;705;110287;1982;37;555
Landeck;706;44386;1472;18;132
Lienz;707;48738;417;6;111
Reutte;708;32838;267;1;82
Schwaz;709;84329;2129;16;667
Bludenz;801;64107;970;7;252
Bregenz;802;134987;1934;15;624
Dornbirn;803;89912;1738;8;677
Feldkirch;804;108133;1653;7;472
Wien;900;1911191;33201;362;5538
