time;Belegung Normalbetten in %;Timestamp
01.04.2020;5;2020-05-30T09:39:23
02.04.2020;5;2020-05-30T09:39:23
03.04.2020;5;2020-05-30T09:39:23
04.04.2020;5;2020-05-30T09:39:23
05.04.2020;4;2020-05-30T09:39:23
06.04.2020;5;2020-05-30T09:39:23
07.04.2020;4;2020-05-30T09:39:23
08.04.2020;4;2020-05-30T09:39:23
09.04.2020;4;2020-05-30T09:39:23
10.04.2020;4;2020-05-30T09:39:23
11.04.2020;4;2020-05-30T09:39:23
12.04.2020;4;2020-05-30T09:39:23
13.04.2020;4;2020-05-30T09:39:23
14.04.2020;4;2020-05-30T09:39:23
15.04.2020;4;2020-05-30T09:39:23
16.04.2020;4;2020-05-30T09:39:23
17.04.2020;4;2020-05-30T09:39:23
18.04.2020;3;2020-05-30T09:39:23
19.04.2020;3;2020-05-30T09:39:23
20.04.2020;3;2020-05-30T09:39:23
21.04.2020;3;2020-05-30T09:39:23
22.04.2020;3;2020-05-30T09:39:23
23.04.2020;3;2020-05-30T09:39:23
24.04.2020;3;2020-05-30T09:39:23
25.04.2020;3;2020-05-30T09:39:23
26.04.2020;3;2020-05-30T09:39:23
27.04.2020;3;2020-05-30T09:39:23
28.04.2020;3;2020-05-30T09:39:23
29.04.2020;2;2020-05-30T09:39:23
30.04.2020;2;2020-05-30T09:39:23
01.05.2020;2;2020-05-30T09:39:23
02.05.2020;2;2020-05-30T09:39:23
03.05.2020;2;2020-05-30T09:39:23
04.05.2020;2;2020-05-30T09:39:23
05.05.2020;2;2020-05-30T09:39:23
06.05.2020;2;2020-05-30T09:39:23
07.05.2020;2;2020-05-30T09:39:23
08.05.2020;2;2020-05-30T09:39:23
09.05.2020;2;2020-05-30T09:39:23
10.05.2020;1;2020-05-30T09:39:23
11.05.2020;1;2020-05-30T09:39:23
12.05.2020;1;2020-05-30T09:39:23
13.05.2020;1;2020-05-30T09:39:23
14.05.2020;1;2020-05-30T09:39:23
15.05.2020;1;2020-05-30T09:39:23
16.05.2020;1;2020-05-30T09:39:23
17.05.2020;1;2020-05-30T09:39:23
18.05.2020;1;2020-05-30T09:39:23
19.05.2020;1;2020-05-30T09:39:23
20.05.2020;1;2020-05-30T09:39:23
21.05.2020;1;2020-05-30T09:39:23
22.05.2020;1;2020-05-30T09:39:23
23.05.2020;1;2020-05-30T09:39:23
24.05.2020;1;2020-05-30T09:39:23
25.05.2020;1;2020-05-30T09:39:23
26.05.2020;1;2020-05-30T09:39:23
27.05.2020;1;2020-05-30T09:39:23
28.05.2020;1;2020-05-30T09:39:23
29.05.2020;1;2020-05-30T09:39:23
30.05.2020;1;2020-05-30T09:39:23
