Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;447;384,966498441187;305;2020-10-11T13:02:00
Baden;782;534,8727454293;306;2020-10-11T13:02:00
Bludenz;492;772,200772200772;801;2020-10-11T13:02:00
Braunau am Inn;390;373,534595050188;404;2020-10-11T13:02:00
Bregenz;697;518,666795651236;802;2020-10-11T13:02:00
Bruck an der Leitha;510;499,95098519753;307;2020-10-11T13:02:00
Bruck-Mürzzuschlag;219;221,247878445001;621;2020-10-11T13:02:00
Deutschlandsberg;117;192,36776771181;603;2020-10-11T13:02:00
Dornbirn;541;607,585269707213;803;2020-10-11T13:02:00
Eferding;134;404,150078417179;405;2020-10-11T13:02:00
Eisenstadt(Stadt);49;334,768053562889;101;2020-10-11T13:02:00
Eisenstadt-Umgebung;138;321,475994129569;103;2020-10-11T13:02:00
Feldkirch;650;606,575275991751;804;2020-10-11T13:02:00
Feldkirchen;41;136,954270635;210;2020-10-11T13:02:00
Freistadt;335;502,844448447186;406;2020-10-11T13:02:00
Gänserndorf;538;518,874293540111;308;2020-10-11T13:02:00
Gmünd;145;394,311043428602;309;2020-10-11T13:02:00
Gmunden;400;393,580698802531;407;2020-10-11T13:02:00
Graz(Stadt);1394;482,676952694889;601;2020-10-11T13:02:00
Graz-Umgebung;519;336,444963049397;606;2020-10-11T13:02:00
Grieskirchen;242;373,912640410377;408;2020-10-11T13:02:00
Güssing;104;403,147652827848;104;2020-10-11T13:02:00
Hallein;388;642,660748004108;502;2020-10-11T13:02:00
Hartberg-Fürstenfeld;417;460,153163690936;622;2020-10-11T13:02:00
Hermagor;59;323,748902546093;203;2020-10-11T13:02:00
Hollabrunn;119;233,984820480554;310;2020-10-11T13:02:00
Horn;125;402,058539723384;311;2020-10-11T13:02:00
Imst;489;814,240042626882;702;2020-10-11T13:02:00
Innsbruck-Land;1122;625,704056480666;703;2020-10-11T13:02:00
Innsbruck-Stadt;1514;1146,01468473242;701;2020-10-11T13:02:00
Jennersdorf;19;111,332473924763;105;2020-10-11T13:02:00
Kirchdorf an der Krems;157;276,087644638272;409;2020-10-11T13:02:00
Kitzbühel;486;760,789593149763;704;2020-10-11T13:02:00
Klagenfurt Land;119;198,996655518395;204;2020-10-11T13:02:00
Klagenfurt Stadt;249;246,982155787218;201;2020-10-11T13:02:00
Korneuburg;514;565,524981020806;312;2020-10-11T13:02:00
Krems an der Donau(Stadt);146;586,9110789516;301;2020-10-11T13:02:00
Krems(Land);351;620,185172096968;313;2020-10-11T13:02:00
Kufstein;1027;936,343246840867;705;2020-10-11T13:02:00
Landeck;1206;2718,54289707407;706;2020-10-11T13:02:00
Leibnitz;287;347,946268367198;610;2020-10-11T13:02:00
Leoben;154;256,410256410256;611;2020-10-11T13:02:00
Lienz;187;383,566139519619;707;2020-10-11T13:02:00
Liezen (inkl. Gröbming);227;284,101575699929;612;2020-10-11T13:02:00
Lilienfeld;111;430,032543003254;314;2020-10-11T13:02:00
Linz(Stadt);1574;765,09532096089;401;2020-10-11T13:02:00
Linz-Land;1078;717,36106952014;410;2020-10-11T13:02:00
Mattersburg;160;400,751408891672;106;2020-10-11T13:02:00
Melk;398;510,505117877941;315;2020-10-11T13:02:00
Mistelbach;388;514,023025051999;316;2020-10-11T13:02:00
Mödling;710;596,648683171146;317;2020-10-11T13:02:00
Murau;39;141,002928522362;614;2020-10-11T13:02:00
Murtal;139;193,044830842731;620;2020-10-11T13:02:00
Neunkirchen;524;607,247569271419;318;2020-10-11T13:02:00
Neusiedl am See;278;466,818914562063;107;2020-10-11T13:02:00
Oberpullendorf;97;258,577026630768;108;2020-10-11T13:02:00
Oberwart;266;491,900288482876;109;2020-10-11T13:02:00
Perg;476;695,306679910603;411;2020-10-11T13:02:00
Reutte;126;385,674931129477;708;2020-10-11T13:02:00
Ried im Innkreis;335;547,349846415267;412;2020-10-11T13:02:00
Rohrbach;328;580,284480928455;413;2020-10-11T13:02:00
Rust(Stadt);3;154,639175257732;102;2020-10-11T13:02:00
Salzburg(Stadt);655;424,742722633275;501;2020-10-11T13:02:00
Salzburg-Umgebung;592;388,754998982145;503;2020-10-11T13:02:00
Sankt Johann im Pongau;679;842,714060541372;504;2020-10-11T13:02:00
Sankt Pölten(Land);638;486,859375476939;319;2020-10-11T13:02:00
Sankt Pölten(Stadt);335;608,604025870213;302;2020-10-11T13:02:00
Sankt Veit an der Glan;124;227,293556960865;205;2020-10-11T13:02:00
Schärding;178;310,607779154379;414;2020-10-11T13:02:00
Scheibbs;172;415,428833659397;320;2020-10-11T13:02:00
Schwaz;804;958,592157190037;709;2020-10-11T13:02:00
Spittal an der Drau;91;119,593644452038;206;2020-10-11T13:02:00
Steyr(Stadt);191;500,091639829288;402;2020-10-11T13:02:00
Steyr-Land;301;498,121700564317;415;2020-10-11T13:02:00
Südoststeiermark;103;119,841297543835;623;2020-10-11T13:02:00
Tamsweg;56;275,590551181102;505;2020-10-11T13:02:00
Tulln;450;433,647165393029;321;2020-10-11T13:02:00
Urfahr-Umgebung;511;597,625869832174;416;2020-10-11T13:02:00
Villach Land;136;210,304942166141;207;2020-10-11T13:02:00
Villach Stadt;130;208,858827498675;202;2020-10-11T13:02:00
Vöcklabruck;606;444,760849302401;417;2020-10-11T13:02:00
Voitsberg;187;365,512792947753;616;2020-10-11T13:02:00
Völkermarkt;145;346,243851186781;208;2020-10-11T13:02:00
Waidhofen an der Thaya;162;625,772558714462;322;2020-10-11T13:02:00
Waidhofen an der Ybbs(Stadt);33;293,046798685729;303;2020-10-11T13:02:00
Weiz;323;357,526316372049;617;2020-10-11T13:02:00
Wels(Stadt);487;788,957830446968;403;2020-10-11T13:02:00
Wels-Land;353;482,939776178619;418;2020-10-11T13:02:00
Wien(Stadt);20540;1082,48207764885;900;2020-10-11T13:02:00
Wiener Neustadt(Land);306;392,352963803516;323;2020-10-11T13:02:00
Wiener Neustadt(Stadt);281;620,624157960996;304;2020-10-11T13:02:00
Wolfsberg;93;176,383567879225;209;2020-10-11T13:02:00
Zell am See;491;561,386659349203;506;2020-10-11T13:02:00
Zwettl;206;487,897304722656;325;2020-10-11T13:02:00
