Bundesland;Anzahl;GKZ;Timestamp
Wien;2558;9;2021-02-01T13:02:00
Vorarlberg;614;8;2021-02-01T13:02:00
Tirol;1297;7;2021-02-01T13:02:00
Steiermark;2196;6;2021-02-01T13:02:00
Salzburg;1560;5;2021-02-01T13:02:00
Oberösterreich;1438;4;2021-02-01T13:02:00
Niederösterreich;3066;3;2021-02-01T13:02:00
Kärnten;881;2;2021-02-01T13:02:00
Burgenland;387;1;2021-02-01T13:02:00
