Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;509;9;43
Rust(Stadt);102;1980;54;0;4
Eisenstadt-Umgebung;103;43236;1243;17;55
Güssing;104;25699;935;14;36
Jennersdorf;105;17097;629;16;13
Mattersburg;106;40042;1174;21;38
Neusiedl am See;107;59990;1614;26;94
Oberpullendorf;108;37384;1356;16;38
Oberwart;109;54192;1876;51;37
Klagenfurt Stadt;201;101300;3857;117;167
Villach Stadt;202;62882;2067;41;103
Hermagor;203;18054;923;13;79
Klagenfurt Land;204;60014;2305;23;129
Sankt Veit an der Glan;205;54186;2364;74;120
Spittal an der Drau;206;75868;2037;30;162
Villach Land;207;64618;2283;55;98
Völkermarkt;208;41862;2287;42;91
Wolfsberg;209;52607;2304;55;84
Feldkirchen;210;29902;1277;29;87
Krems an der Donau(Stadt);301;25036;869;29;23
Sankt Pölten(Stadt);302;55514;2208;32;55
Waidhofen an der Ybbs(Stadt);303;11222;507;7;52
Wiener Neustadt(Stadt);304;45823;1587;31;50
Amstetten;305;116520;6264;96;382
Baden;306;146751;4365;59;222
Bruck an der Leitha;307;103735;2823;52;103
Gänserndorf;308;104782;2323;26;164
Gmünd;309;36553;1506;33;63
Hollabrunn;310;51033;1168;26;24
Horn;311;30936;619;10;23
Korneuburg;312;91254;2287;26;57
Krems(Land);313;56487;1942;25;47
Lilienfeld;314;25655;956;28;25
Melk;315;78191;3136;63;126
Mistelbach;316;75625;1546;27;82
Mödling;317;119115;3343;56;112
Neunkirchen;318;86343;2794;56;143
Sankt Pölten(Land);319;131729;4261;77;166
Scheibbs;320;41414;2064;23;75
Tulln;321;104593;2956;39;139
Waidhofen an der Thaya;322;25682;837;13;21
Wiener Neustadt(Land);323;78307;2161;29;106
Zwettl;325;41987;1715;14;80
Linz(Stadt);401;206595;8654;160;257
Steyr(Stadt);402;38056;1580;17;50
Wels(Stadt);403;62470;3092;50;74
Braunau am Inn;404;105553;4374;48;144
Eferding;405;33178;2027;25;27
Freistadt;406;66861;3622;70;126
Gmunden;407;101859;4592;65;256
Grieskirchen;408;64875;3763;56;119
Kirchdorf an der Krems;409;57071;2387;49;125
Linz-Land;410;151371;6361;73;147
Perg;411;68968;3575;42;138
Ried im Innkreis;412;61690;3644;70;113
Rohrbach;413;56545;3890;86;128
Schärding;414;57391;3622;57;147
Steyr-Land;415;60717;3034;57;98
Urfahr-Umgebung;416;86005;4634;62;70
Vöcklabruck;417;137297;6669;104;337
Wels-Land;418;73777;3072;41;116
Salzburg(Stadt);501;155021;6360;65;389
Hallein;502;60824;3856;30;325
Salzburg-Umgebung;503;153492;7190;71;434
Sankt Johann im Pongau;504;81194;5381;78;282
Tamsweg;505;20251;1447;28;85
Zell am See;506;87628;4453;66;325
Graz(Stadt);601;291072;9017;199;297
Deutschlandsberg;603;60867;1869;50;158
Graz-Umgebung;606;156070;4759;188;189
Leibnitz;610;84756;3063;70;125
Leoben;611;59700;2032;74;41
Liezen;612;79652;2989;69;222
Murau;614;27543;1015;15;52
Voitsberg;616;51044;1906;72;36
Weiz;617;90654;2784;97;94
Murtal;620;71698;2747;111;150
Bruck-Mürzzuschlag;621;98697;3660;154;120
Hartberg-Fürstenfeld;622;90606;3680;125;132
Südoststeiermark;623;84036;3005;110;113
Innsbruck-Stadt;701;131961;6375;79;97
Imst;702;60474;3015;29;97
Innsbruck-Land;703;180453;9058;108;245
Kitzbühel;704;64168;2719;26;118
Kufstein;705;110287;6336;106;158
Landeck;706;44386;2630;30;128
Lienz;707;48738;2601;36;93
Reutte;708;32838;976;3;52
Schwaz;709;84329;6765;98;152
Bludenz;801;64107;2835;37;74
Bregenz;802;134987;6188;78;221
Dornbirn;803;89912;5079;41;235
Feldkirch;804;108133;5305;62;202
Wien;900;1911191;72755;1117;2325
