Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;4059;54;1;2020-11-20T12:02:00
Kärnten;6005;77;2;2020-11-20T12:02:00
Niederösterreich;23673;273;3;2020-11-20T12:02:00
Oberösterreich;33572;322;4;2020-11-20T12:02:00
Salzburg;10223;115;5;2020-11-20T12:02:00
Steiermark;12295;365;6;2020-11-20T12:02:00
Tirol;21014;215;7;2020-11-20T12:02:00
Vorarlberg;9152;79;8;2020-11-20T12:02:00
Wien;36490;516;9;2020-11-20T12:02:00
