Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;428;5;18
Rust(Stadt);102;1980;50;0;1
Eisenstadt-Umgebung;103;43236;1096;13;44
Güssing;104;25699;789;9;30
Jennersdorf;105;17097;565;13;23
Mattersburg;106;40042;1076;16;62
Neusiedl am See;107;59990;1386;20;72
Oberpullendorf;108;37384;1239;14;42
Oberwart;109;54192;1711;47;81
Klagenfurt Stadt;201;101300;3301;85;251
Villach Stadt;202;62882;1642;22;132
Hermagor;203;18054;638;5;76
Klagenfurt Land;204;60014;1872;5;133
Sankt Veit an der Glan;205;54186;2060;45;152
Spittal an der Drau;206;75868;1559;22;110
Villach Land;207;64618;1876;20;169
Völkermarkt;208;41862;1908;16;168
Wolfsberg;209;52607;1992;32;152
Feldkirchen;210;29902;994;15;90
Krems an der Donau(Stadt);301;25036;804;25;21
Sankt Pölten(Stadt);302;55514;1987;21;145
Waidhofen an der Ybbs(Stadt);303;11222;397;5;28
Wiener Neustadt(Stadt);304;45823;1422;28;59
Amstetten;305;116520;4934;73;444
Baden;306;146751;3702;32;244
Bruck an der Leitha;307;103735;2487;27;210
Gänserndorf;308;104782;1858;24;105
Gmünd;309;36553;1300;27;111
Hollabrunn;310;51033;1076;18;40
Horn;311;30936;548;7;57
Korneuburg;312;91254;2080;15;93
Krems(Land);313;56487;1769;20;97
Lilienfeld;314;25655;856;20;66
Melk;315;78191;2689;43;239
Mistelbach;316;75625;1367;24;63
Mödling;317;119115;2903;46;192
Neunkirchen;318;86343;2310;40;188
Sankt Pölten(Land);319;131729;3792;60;217
Scheibbs;320;41414;1834;16;130
Tulln;321;104593;2567;29;97
Waidhofen an der Thaya;322;25682;764;12;42
Wiener Neustadt(Land);323;78307;1822;25;84
Zwettl;325;41987;1437;11;108
Linz(Stadt);401;206595;7873;113;453
Steyr(Stadt);402;38056;1408;12;69
Wels(Stadt);403;62470;2838;34;140
Braunau am Inn;404;105553;3811;37;274
Eferding;405;33178;1913;22;85
Freistadt;406;66861;3241;55;152
Gmunden;407;101859;3770;44;277
Grieskirchen;408;64875;3415;42;132
Kirchdorf an der Krems;409;57071;1981;31;143
Linz-Land;410;151371;5808;58;308
Perg;411;68968;3218;33;127
Ried im Innkreis;412;61690;3319;56;148
Rohrbach;413;56545;3566;70;108
Schärding;414;57391;3123;30;249
Steyr-Land;415;60717;2682;46;143
Urfahr-Umgebung;416;86005;4358;51;166
Vöcklabruck;417;137297;5658;62;359
Wels-Land;418;73777;2672;31;118
Salzburg(Stadt);501;155021;5402;46;352
Hallein;502;60824;3092;24;204
Salzburg-Umgebung;503;153492;6053;52;308
Sankt Johann im Pongau;504;81194;4701;69;260
Tamsweg;505;20251;1227;22;119
Zell am See;506;87628;3726;51;234
Graz(Stadt);601;291072;7940;85;487
Deutschlandsberg;603;60867;1365;21;148
Graz-Umgebung;606;156070;4084;109;288
Leibnitz;610;84756;2630;53;163
Leoben;611;59700;1802;52;130
Liezen;612;79652;2465;45;130
Murau;614;27543;861;8;82
Voitsberg;616;51044;1761;56;96
Weiz;617;90654;2439;55;188
Murtal;620;71698;2283;59;231
Bruck-Mürzzuschlag;621;98697;3189;91;260
Hartberg-Fürstenfeld;622;90606;3150;91;223
Südoststeiermark;623;84036;2736;46;169
Innsbruck-Stadt;701;131961;5892;64;180
Imst;702;60474;2589;19;162
Innsbruck-Land;703;180453;7937;85;377
Kitzbühel;704;64168;2341;23;101
Kufstein;705;110287;5743;92;231
Landeck;706;44386;2218;27;103
Lienz;707;48738;2212;24;219
Reutte;708;32838;833;3;64
Schwaz;709;84329;6366;86;225
Bludenz;801;64107;2576;36;166
Bregenz;802;134987;5554;67;278
Dornbirn;803;89912;4488;35;240
Feldkirch;804;108133;4685;44;336
Wien;900;1911191;65663;841;3314
