Altersgruppe;Anzahl_demografisch;Timestamp
<5;0;2020-11-01T14:02:01
5-14;0;2020-11-01T14:02:01
15-24;0;2020-11-01T14:02:01
25-34;0;2020-11-01T14:02:01
35-44;0;2020-11-01T14:02:01
45-54;1;2020-11-01T14:02:01
55-64;3;2020-11-01T14:02:01
65-74;21;2020-11-01T14:02:01
75-84;61;2020-11-01T14:02:01
>84;199;2020-11-01T14:02:01
