Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;5616;1.91;7512;2.55;294436;1
Kärnten;13548;2.41;19116;3.41;561293;2
Niederösterreich;31151;1.85;46270;2.75;1684287;3
Oberösterreich;37630;2.53;47278;3.17;1490279;4
Salzburg;12631;2.26;16213;2.90;558410;5
Steiermark;31331;2.51;57443;4.61;1246395;6
Tirol;16997;2.24;24678;3.26;757634;7
Vorarlberg;13355;3.36;16601;4.18;397139;8
Wien;50191;2.63;63313;3.31;1911191;9
Österreich;212450;2.39;298424;3.35;8901064;10
Stand;2021-01-29 18:00;2021-01-29 18:00;2021-01-29 18:00;2021-01-29 18:00;2020-01-01 00:00;
