Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;576;496,064212756429;305;2020-10-20T18:02:00
Baden;931;636,785838867876;306;2020-10-20T18:02:00
Bludenz;597;936,999717487522;801;2020-10-20T18:02:00
Braunau am Inn;482;461,650448241514;404;2020-10-20T18:02:00
Bregenz;985;732,979617957629;802;2020-10-20T18:02:00
Bruck an der Leitha;698;684,246642486031;307;2020-10-20T18:02:00
Bruck-Mürzzuschlag;271;273,781621272125;621;2020-10-20T18:02:00
Deutschlandsberg;150;246,625343220269;603;2020-10-20T18:02:00
Dornbirn;735;825,462427421076;803;2020-10-20T18:02:00
Eferding;192;579,080709373869;405;2020-10-20T18:02:00
Eisenstadt(Stadt);54;368,928059028489;101;2020-10-20T18:02:00
Eisenstadt-Umgebung;186;433,293731218114;103;2020-10-20T18:02:00
Feldkirch;901;840,806651797796;804;2020-10-20T18:02:00
Feldkirchen;53;177,03844740622;210;2020-10-20T18:02:00
Freistadt;412;618,423620179823;406;2020-10-20T18:02:00
Gänserndorf;660;636,53723742839;308;2020-10-20T18:02:00
Gmünd;191;519,402822723194;309;2020-10-20T18:02:00
Gmunden;564;554,948785311568;407;2020-10-20T18:02:00
Graz(Stadt);1716;594,170481222689;601;2020-10-20T18:02:00
Graz-Umgebung;645;418,125243096072;606;2020-10-20T18:02:00
Grieskirchen;418;645,849106163378;408;2020-10-20T18:02:00
Güssing;116;449,6646896926;104;2020-10-20T18:02:00
Hallein;743;1230,66220558519;502;2020-10-20T18:02:00
Hartberg-Fürstenfeld;500;551,742402507118;622;2020-10-20T18:02:00
Hermagor;67;367,647058823529;203;2020-10-20T18:02:00
Hollabrunn;145;285,107554367061;310;2020-10-20T18:02:00
Horn;138;443,872627854616;311;2020-10-20T18:02:00
Imst;637;1060,67670174504;702;2020-10-20T18:02:00
Innsbruck-Land;1659;925,172040732107;703;2020-10-20T18:02:00
Innsbruck-Stadt;1978;1497,23715085913;701;2020-10-20T18:02:00
Jennersdorf;32;187,507324504863;105;2020-10-20T18:02:00
Kirchdorf an der Krems;196;344,669925790455;409;2020-10-20T18:02:00
Kitzbühel;533;834,36389536795;704;2020-10-20T18:02:00
Klagenfurt Land;151;252,508361204013;204;2020-10-20T18:02:00
Klagenfurt Stadt;372;368,985389368856;201;2020-10-20T18:02:00
Korneuburg;640;704,155618391665;312;2020-10-20T18:02:00
Krems an der Donau(Stadt);178;715,54912365332;301;2020-10-20T18:02:00
Krems(Land);411;726,199731429783;313;2020-10-20T18:02:00
Kufstein;1146;1044,83871555953;705;2020-10-20T18:02:00
Landeck;1323;2982,28213335738;706;2020-10-20T18:02:00
Leibnitz;367;444,934775229135;610;2020-10-20T18:02:00
Leoben;226;376,290376290376;611;2020-10-20T18:02:00
Lienz;236;484,072775008717;707;2020-10-20T18:02:00
Liezen (inkl. Gröbming);295;369,206893530744;612;2020-10-20T18:02:00
Lilienfeld;147;569,502556950256;314;2020-10-20T18:02:00
Linz(Stadt);1831;890,01876282045;401;2020-10-20T18:02:00
Linz-Land;1163;773,924790215142;410;2020-10-20T18:02:00
Mattersburg;181;453,350031308704;106;2020-10-20T18:02:00
Melk;462;592,596393114594;315;2020-10-20T18:02:00
Mistelbach;442;585,562312043772;316;2020-10-20T18:02:00
Mödling;877;736,987176255063;317;2020-10-20T18:02:00
Murau;45;162,695686756571;614;2020-10-20T18:02:00
Murtal;231;320,815510249431;620;2020-10-20T18:02:00
Neunkirchen;610;706,91033827398;318;2020-10-20T18:02:00
Neusiedl am See;386;648,173025255239;107;2020-10-20T18:02:00
Oberpullendorf;132;351,878015621251;108;2020-10-20T18:02:00
Oberwart;335;619,498483615652;109;2020-10-20T18:02:00
Perg;509;743,510714442221;411;2020-10-20T18:02:00
Reutte;157;480,563207835935;708;2020-10-20T18:02:00
Ried im Innkreis;481;785,89634664401;412;2020-10-20T18:02:00
Rohrbach;404;714,740641143585;413;2020-10-20T18:02:00
Rust(Stadt);3;154,639175257732;102;2020-10-20T18:02:00
Salzburg(Stadt);842;546,005148789645;501;2020-10-20T18:02:00
Salzburg-Umgebung;993;652,083976333226;503;2020-10-20T18:02:00
Sankt Johann im Pongau;929;1152,99169697045;504;2020-10-20T18:02:00
Sankt Pölten(Land);814;621,165410091267;319;2020-10-20T18:02:00
Sankt Pölten(Stadt);420;763,025942882058;302;2020-10-20T18:02:00
Sankt Veit an der Glan;184;337,274310329026;205;2020-10-20T18:02:00
Schärding;350;610,745633168723;414;2020-10-20T18:02:00
Scheibbs;192;463,734511991885;320;2020-10-20T18:02:00
Schwaz;1082;1290,04566427813;709;2020-10-20T18:02:00
Spittal an der Drau;111;145,877961914024;206;2020-10-20T18:02:00
Steyr(Stadt);247;646,715366690231;402;2020-10-20T18:02:00
Steyr-Land;388;642,097075810482;415;2020-10-20T18:02:00
Südoststeiermark;159;184,997731159901;623;2020-10-20T18:02:00
Tamsweg;86;423,228346456693;505;2020-10-20T18:02:00
Tulln;602;580,123541259119;321;2020-10-20T18:02:00
Urfahr-Umgebung;593;693,52669434536;416;2020-10-20T18:02:00
Villach Land;164;253,603018494464;207;2020-10-20T18:02:00
Villach Stadt;161;258,663624825282;202;2020-10-20T18:02:00
Vöcklabruck;853;626,041261476812;417;2020-10-20T18:02:00
Voitsberg;258;504,290377435938;616;2020-10-20T18:02:00
Völkermarkt;175;417,880510053011;208;2020-10-20T18:02:00
Waidhofen an der Thaya;203;784,147095179234;322;2020-10-20T18:02:00
Waidhofen an der Ybbs(Stadt);50;444,010301038984;303;2020-10-20T18:02:00
Weiz;404;447,184618620148;617;2020-10-20T18:02:00
Wels(Stadt);648;1049,78372511219;403;2020-10-20T18:02:00
Wels-Land;425;581,44307330287;418;2020-10-20T18:02:00
Wien(Stadt);24146;1272,52250471807;900;2020-10-20T18:02:00
Wiener Neustadt(Land);370;474,413714402944;323;2020-10-20T18:02:00
Wiener Neustadt(Stadt);350;773,019413830422;304;2020-10-20T18:02:00
Wolfsberg;120;227,591700489322;209;2020-10-20T18:02:00
Zell am See;610;697,445747867645;506;2020-10-20T18:02:00
Zwettl;266;630,003315806925;325;2020-10-20T18:02:00
