Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;7601;130;1;2020-12-14T13:02:00
Kärnten;16151;269;2;2020-12-14T13:02:00
Niederösterreich;42214;648;3;2020-12-14T13:02:00
Oberösterreich;60088;807;4;2020-12-14T13:02:00
Salzburg;21410;271;5;2020-12-14T13:02:00
Steiermark;27109;624;6;2020-12-14T13:02:00
Tirol;34658;416;7;2020-12-14T13:02:00
Vorarlberg;15830;179;8;2020-12-14T13:02:00
Wien;59113;859;9;2020-12-14T13:02:00
