Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;7176;2.44;10212;3.47;;1
Kärnten;18017;3.21;24017;4.28;;2
Niederösterreich;46270;2.75;54640;3.24;;3
Oberösterreich;46828;3.14;71980;4.83;;4
Salzburg;16147;2.89;21439;3.84;;5
Steiermark;40259;3.23;63605;5.10;;6
Tirol;23868;3.15;31086;4.10;;7
Vorarlberg;15233;3.84;18317;4.61;;8
Wien;58039;3.04;87375;4.57;;9
Österreich;271837;3.05;382671;4.30;;10
Stand;2021-02-04 18:00;2021-02-04 18:00;2021-02-04 18:00;2021-02-04 18:00;2020-01-01 00:00;
