Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;6455;5559,19182872005;305;2021-01-06T21:02:00
Baden;4647;3178,45735039637;306;2021-01-06T21:02:00
Bludenz;2910;4567,28505508993;801;2021-01-06T21:02:00
Braunau am Inn;4481;4291,81671902536;404;2021-01-06T21:02:00
Bregenz;6346;4722,32350818184;802;2021-01-06T21:02:00
Bruck an der Leitha;2918;2860,5038721694;307;2021-01-06T21:02:00
Bruck-Mürzzuschlag;3699;3736,96759072173;621;2021-01-06T21:02:00
Deutschlandsberg;1981;3257,09869946236;603;2021-01-06T21:02:00
Dornbirn;5199;5838,883211105;803;2021-01-06T21:02:00
Eferding;2035;6137,65231029075;405;2021-01-06T21:02:00
Eisenstadt(Stadt);515;3518,48056295689;101;2021-01-06T21:02:00
Eisenstadt-Umgebung;1303;3035,38565471615;103;2021-01-06T21:02:00
Feldkirch;5461;5096,165511063;804;2021-01-06T21:02:00
Feldkirchen;1318;4402,57874870562;210;2021-01-06T21:02:00
Freistadt;3640;5463,74266372465;406;2021-01-06T21:02:00
Gänserndorf;2482;2393,76579287464;308;2021-01-06T21:02:00
Gmünd;1545;4201,45215239442;309;2021-01-06T21:02:00
Gmunden;4782;4705,25725418425;407;2021-01-06T21:02:00
Graz(Stadt);9531;3300,13919378406;601;2021-01-06T21:02:00
Graz-Umgebung;4862;3151,82159989628;606;2021-01-06T21:02:00
Grieskirchen;3832;5920,79850434944;408;2021-01-06T21:02:00
Güssing;995;3857,03764003566;104;2021-01-06T21:02:00
Hallein;4144;6863,88180342532;502;2021-01-06T21:02:00
Hartberg-Fürstenfeld;3770;4160,13771490367;622;2021-01-06T21:02:00
Hermagor;941;5163,52063213345;203;2021-01-06T21:02:00
Hollabrunn;1190;2339,84820480554;310;2021-01-06T21:02:00
Horn;610;1962,04567385011;311;2021-01-06T21:02:00
Imst;3054;5085,25376315439;702;2021-01-06T21:02:00
Innsbruck-Land;9280;5175,16367570461;703;2021-01-06T21:02:00
Innsbruck-Stadt;6521;4936,03815002649;701;2021-01-06T21:02:00
Jennersdorf;635;3720,84847064338;105;2021-01-06T21:02:00
Kirchdorf an der Krems;2482;4364,64671332606;409;2021-01-06T21:02:00
Kitzbühel;2789;4365,93040184092;704;2021-01-06T21:02:00
Klagenfurt Land;2277;3807,69230769231;204;2021-01-06T21:02:00
Klagenfurt Stadt;4051;4018,17153853021;201;2021-01-06T21:02:00
Korneuburg;2363;2599,87457228047;312;2021-01-06T21:02:00
Krems an der Donau(Stadt);895;3597,84531275125;301;2021-01-06T21:02:00
Krems(Land);1971;3482,57827408297;313;2021-01-06T21:02:00
Kufstein;6499;5925,31135464342;705;2021-01-06T21:02:00
Landeck;2737;6169,69478382399;706;2021-01-06T21:02:00
Leibnitz;3141;3808,0112506668;610;2021-01-06T21:02:00
Leoben;2098;3493,17349317349;611;2021-01-06T21:02:00
Lienz;2654;5443,76756302176;707;2021-01-06T21:02:00
Liezen (inkl. Gröbming);3123;3908,58687625937;612;2021-01-06T21:02:00
Lilienfeld;980;3796,6837130017;314;2021-01-06T21:02:00
Linz(Stadt);8676;4217,25985048074;401;2021-01-06T21:02:00
Linz-Land;6525;4342,09738276337;410;2021-01-06T21:02:00
Mattersburg;1189;2978,08390732624;106;2021-01-06T21:02:00
Melk;3179;4077,62756214566;315;2021-01-06T21:02:00
Mistelbach;1624;2151,47781619702;316;2021-01-06T21:02:00
Mödling;3499;2940,38555269836;317;2021-01-06T21:02:00
Murau;1018;3680,53798040421;614;2021-01-06T21:02:00
Murtal;2862;3974,7791789345;620;2021-01-06T21:02:00
Neunkirchen;2944;3411,71153422721;318;2021-01-06T21:02:00
Neusiedl am See;1702;2858,00644814616;107;2021-01-06T21:02:00
Oberpullendorf;1384;3689,38767893797;108;2021-01-06T21:02:00
Oberwart;1880;3476,58850506694;109;2021-01-06T21:02:00
Perg;3656;5340,42273477556;411;2021-01-06T21:02:00
Reutte;997;3051,72941536578;708;2021-01-06T21:02:00
Ried im Innkreis;3716;6071,49859486308;412;2021-01-06T21:02:00
Rohrbach;3886;6874,95577099993;413;2021-01-06T21:02:00
Rust(Stadt);60;3092,78350515464;102;2021-01-06T21:02:00
Salzburg(Stadt);6766;4387,49505547594;501;2021-01-06T21:02:00
Salzburg-Umgebung;7471;4906,06181992501;503;2021-01-06T21:02:00
