time;Belegung Normalbetten in %;Timestamp
01.04.2020;5;2020-04-20T19:00:00
02.04.2020;5;2020-04-20T19:00:00
03.04.2020;5;2020-04-20T19:00:00
04.04.2020;5;2020-04-20T19:00:00
05.04.2020;4;2020-04-20T19:00:00
06.04.2020;5;2020-04-20T19:00:00
07.04.2020;4;2020-04-20T19:00:00
08.04.2020;4;2020-04-20T19:00:00
09.04.2020;4;2020-04-20T19:00:00
10.04.2020;4;2020-04-20T19:00:00
11.04.2020;4;2020-04-20T19:00:00
12.04.2020;4;2020-04-20T19:00:00
13.04.2020;4;2020-04-20T19:00:00
14.04.2020;4;2020-04-20T19:00:00
15.04.2020;4;2020-04-20T19:00:00
16.04.2020;4;2020-04-20T19:00:00
17.04.2020;4;2020-04-20T19:00:00
18.04.2020;3;2020-04-20T19:00:00
19.04.2020;3;2020-04-20T19:00:00
20.04.2020;3;2020-04-20T19:00:00
