AltersgruppeID;Altersgruppe;Bundesland;BundeslandID;AnzEinwohner;Geschlecht;Anzahl;AnzahlGeheilt;AnzahlTot
1;<5;Burgenland;1;6271;M;17;10;0
1;<5;Burgenland;1;5908;W;9;7;0
1;<5;Kärnten;2;12224;M;15;8;0
1;<5;Kärnten;2;11683;W;13;8;0
1;<5;Niederösterreich;3;40492;M;59;42;0
1;<5;Niederösterreich;3;38354;W;53;35;0
1;<5;Oberösterreich;4;39650;M;168;142;0
1;<5;Oberösterreich;4;37428;W;142;114;0
1;<5;Salzburg;5;14528;M;49;28;0
1;<5;Salzburg;5;13799;W;40;29;0
1;<5;Steiermark;6;29066;M;38;28;0
1;<5;Steiermark;6;27485;W;40;28;0
1;<5;Tirol;7;19768;M;77;60;0
1;<5;Tirol;7;18326;W;69;60;0
1;<5;Vorarlberg;8;11200;M;39;19;0
1;<5;Vorarlberg;8;10560;W;25;15;0
1;<5;Wien;9;50897;M;244;140;0
1;<5;Wien;9;48196;W;221;115;0
1;<5;Österreich;10;224096;M;706;477;0
1;<5;Österreich;10;211739;W;612;411;0
2;5-14;Burgenland;1;13528;M;104;60;0
2;5-14;Burgenland;1;12962;W;62;31;0
2;5-14;Kärnten;2;26135;M;75;38;0
2;5-14;Kärnten;2;24667;W;72;29;0
2;5-14;Niederösterreich;3;84399;M;529;287;0
2;5-14;Niederösterreich;3;80034;W;454;255;0
2;5-14;Oberösterreich;4;76223;M;769;503;0
2;5-14;Oberösterreich;4;72202;W;704;464;0
2;5-14;Salzburg;5;27260;M;263;161;0
2;5-14;Salzburg;5;26109;W;253;151;0
2;5-14;Steiermark;6;56981;M;248;163;0
2;5-14;Steiermark;6;53566;W;225;138;0
2;5-14;Tirol;7;36954;M;485;379;0
2;5-14;Tirol;7;35185;W;449;347;0
2;5-14;Vorarlberg;8;21371;M;222;127;0
2;5-14;Vorarlberg;8;20345;W;205;125;0
2;5-14;Wien;9;92739;M;1259;582;0
2;5-14;Wien;9;86565;W;1141;521;0
2;5-14;Österreich;10;435590;M;3954;2300;0
2;5-14;Österreich;10;411635;W;3565;2061;0
3;15-24;Burgenland;1;14211;M;306;185;0
3;15-24;Burgenland;1;13131;W;189;113;0
3;15-24;Kärnten;2;28406;M;303;145;0
3;15-24;Kärnten;2;26320;W;210;111;0
3;15-24;Niederösterreich;3;89919;M;1657;1033;0
3;15-24;Niederösterreich;3;83156;W;1281;753;0
3;15-24;Oberösterreich;4;83998;M;1844;1078;0
3;15-24;Oberösterreich;4;78239;W;1687;950;0
3;15-24;Salzburg;5;31568;M;675;386;0
3;15-24;Salzburg;5;29388;W;591;387;0
3;15-24;Steiermark;6;66905;M;805;441;0
3;15-24;Steiermark;6;62165;W;724;426;0
3;15-24;Tirol;7;42988;M;1321;1028;0
3;15-24;Tirol;7;40872;W;1061;815;0
3;15-24;Vorarlberg;8;23260;M;603;327;0
3;15-24;Vorarlberg;8;21284;W;563;302;0
3;15-24;Wien;9;110503;M;3402;1823;0
3;15-24;Wien;9;109312;W;3182;1628;0
3;15-24;Österreich;10;491758;M;10916;6446;0
3;15-24;Österreich;10;463867;W;9488;5485;0
4;25-34;Burgenland;1;15869;M;232;128;0
4;25-34;Burgenland;1;15497;W;164;83;0
4;25-34;Kärnten;2;33170;M;293;138;0
4;25-34;Kärnten;2;32067;W;235;108;0
4;25-34;Niederösterreich;3;100196;M;1444;852;0
4;25-34;Niederösterreich;3;96933;W;1236;718;0
4;25-34;Oberösterreich;4;102058;M;1757;1018;0
4;25-34;Oberösterreich;4;95289;W;1620;883;1
4;25-34;Salzburg;5;38299;M;668;408;1
4;25-34;Salzburg;5;37188;W;606;372;0
4;25-34;Steiermark;6;85306;M;913;483;0
4;25-34;Steiermark;6;79007;W;837;400;0
4;25-34;Tirol;7;54701;M;1329;980;0
4;25-34;Tirol;7;52293;W;1187;842;0
4;25-34;Vorarlberg;8;27098;M;537;302;0
4;25-34;Vorarlberg;8;25794;W;500;292;0
4;25-34;Wien;9;160526;M;3828;1986;0
4;25-34;Wien;9;157739;W;3391;1625;0
4;25-34;Österreich;10;617223;M;11001;6295;1
4;25-34;Österreich;10;591807;W;9776;5323;1
5;35-44;Burgenland;1;18298;M;236;123;0
5;35-44;Burgenland;1;19387;W;224;101;0
5;35-44;Kärnten;2;34383;M;195;80;0
5;35-44;Kärnten;2;34229;W;228;105;0
5;35-44;Niederösterreich;3;106173;M;1201;717;2
5;35-44;Niederösterreich;3;107318;W;1212;682;0
5;35-44;Oberösterreich;4;97716;M;1440;780;1
5;35-44;Oberösterreich;4;93775;W;1488;770;1
5;35-44;Salzburg;5;36981;M;585;340;0
5;35-44;Salzburg;5;36583;W;549;339;0
5;35-44;Steiermark;6;81448;M;757;395;1
5;35-44;Steiermark;6;78824;W;740;366;0
5;35-44;Tirol;7;49976;M;968;710;0
5;35-44;Tirol;7;50079;W;1021;733;0
5;35-44;Vorarlberg;8;26757;M;477;248;0
5;35-44;Vorarlberg;8;26809;W;548;284;0
5;35-44;Wien;9;138896;M;2640;1284;0
5;35-44;Wien;9;137113;W;2526;1169;0
5;35-44;Österreich;10;590628;M;8499;4677;4
5;35-44;Österreich;10;584117;W;8536;4549;1
6;45-54;Burgenland;1;23198;M;302;149;1
6;45-54;Burgenland;1;23111;W;277;131;0
6;45-54;Kärnten;2;42248;M;278;117;1
6;45-54;Kärnten;2;43197;W;296;128;0
6;45-54;Niederösterreich;3;132507;M;1653;960;0
6;45-54;Niederösterreich;3;133561;W;1769;962;2
6;45-54;Oberösterreich;4;111122;M;1702;914;1
6;45-54;Oberösterreich;4;109542;W;1876;917;1
6;45-54;Salzburg;5;40972;M;655;400;1
6;45-54;Salzburg;5;42207;W;706;379;0
6;45-54;Steiermark;6;94416;M;918;471;0
6;45-54;Steiermark;6;92354;W;1016;511;1
6;45-54;Tirol;7;56912;M;1179;828;3
6;45-54;Tirol;7;57521;W;1264;917;1
6;45-54;Vorarlberg;8;30023;M;600;330;0
6;45-54;Vorarlberg;8;29851;W;627;318;0
6;45-54;Wien;9;134056;M;2576;1223;5
6;45-54;Wien;9;137059;W;2565;1149;5
6;45-54;Österreich;10;665454;M;9863;5392;12
6;45-54;Österreich;10;668403;W;10396;5412;10
7;55-64;Burgenland;1;23739;M;223;104;1
7;55-64;Burgenland;1;23841;W;207;101;0
7;55-64;Kärnten;2;43390;M;259;106;0
7;55-64;Kärnten;2;45306;W;221;103;0
7;55-64;Niederösterreich;3;124044;M;1384;751;9
7;55-64;Niederösterreich;3;125362;W;1149;632;1
7;55-64;Oberösterreich;4;107183;M;1498;747;9
7;55-64;Oberösterreich;4;107982;W;1305;603;0
7;55-64;Salzburg;5;37432;M;594;339;0
7;55-64;Salzburg;5;40224;W;553;315;0
7;55-64;Steiermark;6;90939;M;784;369;5
7;55-64;Steiermark;6;92404;W;723;332;2
7;55-64;Tirol;7;51443;M;948;679;2
7;55-64;Tirol;7;52659;W;890;625;1
7;55-64;Vorarlberg;8;26503;M;388;204;0
7;55-64;Vorarlberg;8;26569;W;399;190;1
7;55-64;Wien;9;113414;M;1839;844;12
7;55-64;Wien;9;118686;W;1552;665;0
7;55-64;Österreich;10;618087;M;7917;4143;38
7;55-64;Österreich;10;633033;W;6999;3566;5
8;65-74;Burgenland;1;16429;M;128;53;6
8;65-74;Burgenland;1;17400;W;102;45;1
8;65-74;Kärnten;2;28957;M;133;53;5
8;65-74;Kärnten;2;32719;W;117;48;1
8;65-74;Niederösterreich;3;78908;M;676;333;27
8;65-74;Niederösterreich;3;87896;W;620;309;9
8;65-74;Oberösterreich;4;66173;M;682;288;16
8;65-74;Oberösterreich;4;72610;W;608;266;6
8;65-74;Salzburg;5;24832;M;281;164;5
8;65-74;Salzburg;5;29066;W;274;150;3
8;65-74;Steiermark;6;58267;M;418;184;18
8;65-74;Steiermark;6;66010;W;395;186;12
8;65-74;Tirol;7;32227;M;473;320;8
8;65-74;Tirol;7;36747;W;432;299;4
8;65-74;Vorarlberg;8;16802;M;196;81;6
