Bundesland;Anzahl;GKZ;Timestamp
Wien;4060;9;2021-01-02T18:02:00
Vorarlberg;1191;8;2021-01-02T18:02:00
Tirol;1775;7;2021-01-02T18:02:00
Steiermark;3451;6;2021-01-02T18:02:00
Salzburg;2379;5;2021-01-02T18:02:00
Oberösterreich;2837;4;2021-01-02T18:02:00
Niederösterreich;4261;3;2021-01-02T18:02:00
Kärnten;1202;2;2021-01-02T18:02:00
Burgenland;593;1;2021-01-02T18:02:00
