Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;6942;2.36;9870;3.35;294436;1
Kärnten;16661;2.97;22685;4.04;561293;2
Niederösterreich;43379;2.58;52264;3.10;1684287;3
Oberösterreich;43672;2.93;70828;4.75;1490279;4
Salzburg;15469;2.77;18121;3.25;558410;5
Steiermark;37667;3.02;62411;5.01;1246395;6
Tirol;23046;3.04;29826;3.94;757634;7
Vorarlberg;15233;3.84;17801;4.48;397139;8
Wien;55465;2.90;85509;4.47;1911191;9
Österreich;257534;2.89;369315;4.15;8901064;10
Stand;2021-02-03 18:00;2021-02-03 18:00;2021-02-03 18:00;2021-02-03 18:00;2020-01-01 00:00;
