Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;4097;3528,42895774842;305;2020-11-27T18:02:00
Baden;3144;2150,43466960322;306;2020-11-27T18:02:00
Bludenz;2227;3495,30715384374;801;2020-11-27T18:02:00
Braunau am Inn;3018;2890,58309708068;404;2020-11-27T18:02:00
Bregenz;4949;3682,75749164701;802;2020-11-27T18:02:00
Bruck an der Leitha;2055;2014,50838153122;307;2020-11-27T18:02:00
Bruck-Mürzzuschlag;2476;2501,41436999919;621;2020-11-27T18:02:00
Deutschlandsberg;1079;1774,05830223114;603;2020-11-27T18:02:00
Dornbirn;4010;4503,54331150818;803;2020-11-27T18:02:00
Eferding;1713;5166,48570394499;405;2020-11-27T18:02:00
Eisenstadt(Stadt);347;2370,7043793127;101;2020-11-27T18:02:00
Eisenstadt-Umgebung;960;2236,35474177091;103;2020-11-27T18:02:00
Feldkirch;4024;3755,16755475508;804;2020-11-27T18:02:00
Feldkirchen;750;2505,26104820122;210;2020-11-27T18:02:00
Freistadt;2906;4361,9879617538;406;2020-11-27T18:02:00
Gänserndorf;1633;1574,94743745539;308;2020-11-27T18:02:00
Gmünd;1056;2871,67215076279;309;2020-11-27T18:02:00
Gmunden;3183;3131,91841072114;407;2020-11-27T18:02:00
Graz(Stadt);6847;2370,7956205896;601;2020-11-27T18:02:00
Graz-Umgebung;3212;2082,19888499935;606;2020-11-27T18:02:00
Grieskirchen;3031;4683,1785664622;408;2020-11-27T18:02:00
Güssing;693;2686,35887893941;104;2020-11-27T18:02:00
Hallein;2668;4419,12081359526;502;2020-11-27T18:02:00
Hartberg-Fürstenfeld;2570;2835,95594888658;622;2020-11-27T18:02:00
Hermagor;479;2628,4021071115;203;2020-11-27T18:02:00
Hollabrunn;965;1897,43993078768;310;2020-11-27T18:02:00
Horn;453;1457,06014795754;311;2020-11-27T18:02:00
Imst;2209;3678,23364859465;702;2020-11-27T18:02:00
Innsbruck-Land;7018;3913,71752975161;703;2020-11-27T18:02:00
Innsbruck-Stadt;5494;4158,6556657331;701;2020-11-27T18:02:00
Jennersdorf;473;2771,59264033751;105;2020-11-27T18:02:00
Kirchdorf an der Krems;1636;2876,93876833257;409;2020-11-27T18:02:00
Kitzbühel;2037;3188,74156634993;704;2020-11-27T18:02:00
Klagenfurt Land;1489;2489,96655518395;204;2020-11-27T18:02:00
Klagenfurt Stadt;2758;2735,64974161104;201;2020-11-27T18:02:00
Korneuburg;1922;2114,66734148247;312;2020-11-27T18:02:00
Krems an der Donau(Stadt);742;2982,79466152114;301;2020-11-27T18:02:00
Krems(Land);1535;2712,20580959785;313;2020-11-27T18:02:00
Kufstein;5188;4730,03774548239;705;2020-11-27T18:02:00
Landeck;2048;4616,56372571119;706;2020-11-27T18:02:00
Leibnitz;2192;2657,48508801707;610;2020-11-27T18:02:00
Leoben;1513;2519,14751914752;611;2020-11-27T18:02:00
Lienz;1680;3445,94178819765;707;2020-11-27T18:02:00
Liezen (inkl. Gröbming);2105;2634,5102063804;612;2020-11-27T18:02:00
Lilienfeld;708;2742,91027429103;314;2020-11-27T18:02:00
Linz(Stadt);6750;3281,06316168107;401;2020-11-27T18:02:00
Linz-Land;5009;3333,26678777957;410;2020-11-27T18:02:00
Mattersburg;846;2118,97307451471;106;2020-11-27T18:02:00
Melk;2081;2669,24912136682;315;2020-11-27T18:02:00
Mistelbach;1199;1588,43713153955;316;2020-11-27T18:02:00
Mödling;2511;2110,11949780669;317;2020-11-27T18:02:00
Murau;572;2068,0429516613;614;2020-11-27T18:02:00
Murtal;1655;2298,48341758791;620;2020-11-27T18:02:00
Neunkirchen;1822;2111,46005956589;318;2020-11-27T18:02:00
Neusiedl am See;1206;2025,12090274046;107;2020-11-27T18:02:00
Oberpullendorf;1082;2884,33343107723;108;2020-11-27T18:02:00
Oberwart;1513;2797,91404689696;109;2020-11-27T18:02:00
Perg;2762;4034,53161746447;411;2020-11-27T18:02:00
Reutte;704;2154,88215488215;708;2020-11-27T18:02:00
Ried im Innkreis;2980;4868,96281288805;412;2020-11-27T18:02:00
