Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;929;11;5
Rust(Stadt);102;1980;73;0;0
Eisenstadt-Umgebung;103;43236;2299;24;37
Güssing;104;25699;1803;53;28
Jennersdorf;105;17097;1280;25;26
Mattersburg;106;40042;2226;32;41
Neusiedl am See;107;59990;3207;39;58
Oberpullendorf;108;37384;2216;42;30
Oberwart;109;54192;3587;87;59
Klagenfurt Stadt;201;101300;6008;157;124
Villach Stadt;202;62882;3673;68;139
Hermagor;203;18054;1860;28;8
Klagenfurt Land;204;60014;4043;65;99
Sankt Veit an der Glan;205;54186;3824;97;77
Spittal an der Drau;206;75868;5486;118;196
Villach Land;207;64618;4296;79;83
Völkermarkt;208;41862;3557;61;68
Wolfsberg;209;52607;3372;72;51
Feldkirchen;210;29902;2284;52;63
Krems an der Donau(Stadt);301;25036;1333;28;37
Sankt Pölten(Stadt);302;55514;3618;55;94
Waidhofen an der Ybbs(Stadt);303;11222;872;14;23
Wiener Neustadt(Stadt);304;45823;3786;85;53
Amstetten;305;116520;9621;126;146
Baden;306;146751;9615;120;177
Bruck an der Leitha;307;103735;5885;84;147
Gänserndorf;308;104782;5609;64;138
Gmünd;309;36553;2639;43;41
Hollabrunn;310;51033;2509;52;46
Horn;311;30936;1459;26;42
Korneuburg;312;91254;4174;49;64
Krems(Land);313;56487;3151;39;52
Lilienfeld;314;25655;1537;39;39
Melk;315;78191;5577;99;121
Mistelbach;316;75625;3626;34;51
Mödling;317;119115;6241;113;100
Neunkirchen;318;86343;5800;97;71
Sankt Pölten(Land);319;131729;7444;132;133
Scheibbs;320;41414;3683;40;77
Tulln;321;104593;5228;81;92
Waidhofen an der Thaya;322;25682;1665;14;16
Wiener Neustadt(Land);323;78307;5102;92;46
Zwettl;325;41987;3251;37;38
Linz(Stadt);401;206595;12957;215;385
Steyr(Stadt);402;38056;2310;18;68
Wels(Stadt);403;62470;5284;69;150
Braunau am Inn;404;105553;8721;103;235
Eferding;405;33178;2715;32;53
Freistadt;406;66861;5305;93;102
Gmunden;407;101859;7531;105;78
Grieskirchen;408;64875;5053;68;107
Kirchdorf an der Krems;409;57071;4023;81;67
Linz-Land;410;151371;9670;86;240
Perg;411;68968;5623;71;83
Ried im Innkreis;412;61690;5721;96;136
Rohrbach;413;56545;5027;96;46
Schärding;414;57391;5226;69;124
Steyr-Land;415;60717;4087;68;71
Urfahr-Umgebung;416;86005;5929;72;62
Vöcklabruck;417;137297;11054;153;355
Wels-Land;418;73777;5366;59;152
Salzburg(Stadt);501;155021;11337;134;257
Hallein;502;60824;6387;62;189
Salzburg-Umgebung;503;153492;12124;119;253
Sankt Johann im Pongau;504;81194;9343;113;133
Tamsweg;505;20251;2436;40;35
Zell am See;506;87628;7116;104;107
Graz(Stadt);601;291072;15276;289;514
Deutschlandsberg;603;60867;3784;104;144
Graz-Umgebung;606;156070;8238;241;227
Leibnitz;610;84756;5627;108;149
Leoben;611;59700;3241;109;56
Liezen;612;79652;5267;112;101
Murau;614;27543;1857;29;79
Voitsberg;616;51044;3205;106;128
Weiz;617;90654;5715;143;217
Murtal;620;71698;4629;163;172
Bruck-Mürzzuschlag;621;98697;5847;245;101
Hartberg-Fürstenfeld;622;90606;6971;179;192
Südoststeiermark;623;84036;5732;168;159
Innsbruck-Stadt;701;131961;9156;94;273
Imst;702;60474;4747;37;182
Innsbruck-Land;703;180453;13047;136;357
Kitzbühel;704;64168;4327;42;57
Kufstein;705;110287;9159;136;177
Landeck;706;44386;3500;46;41
Lienz;707;48738;5125;45;155
Reutte;708;32838;1904;6;75
Schwaz;709;84329;8942;131;34
Bludenz;801;64107;3979;46;87
Bregenz;802;134987;8969;101;386
Dornbirn;803;89912;7148;71;245
Feldkirch;804;108133;7725;76;257
Wien;900;1911191;132049;2200;3115
